45,"select p.run, p.camcol, p.field from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-01-15 01:00:00,4
2019-01-15 01:02:00,2
2019-01-15 01:03:00,2
2019-01-15 01:05:00,2
2019-01-15 01:06:00,2
2019-01-15 01:09:00,2
2019-01-15 01:13:00,2
2019-01-15 01:16:00,3
2019-01-15 01:20:00,1
2019-01-15 01:22:00,2
2019-01-15 03:52:00,3
2019-01-15 03:54:00,2
2019-01-15 03:55:00,1
2019-01-15 03:57:00,2
2019-01-15 03:58:00,1
2019-01-15 04:01:00,2
2019-01-15 04:30:00,2
2019-01-15 04:31:00,2
2019-01-15 04:34:00,2
2019-01-15 04:38:00,1
2019-01-15 04:39:00,1
2019-01-15 04:42:00,2
2019-01-15 04:46:00,2
