14,"select count(*) FROM SpecObjAll as s, SpecPhotoAll as ph, sppParams as spp where s.SPECOBJID=spp.SPECOBJID   and spp.SPECOBJID= ph.specObjID and  s.class=&&&  and spp.snr>=# and spp.snr<=#"
2019-01-15 12:57:00,1
2019-01-15 12:59:00,1
2019-01-15 13:01:00,1
2019-01-15 13:03:00,1
2019-01-15 13:05:00,1
2019-01-15 13:07:00,1
2019-01-15 13:08:00,1
2019-01-15 13:10:00,1
2019-01-15 13:12:00,1
2019-01-15 13:16:00,1
2019-01-15 13:43:00,1
2019-01-15 13:51:00,1
2019-01-15 13:53:00,1
2019-01-15 14:42:00,1
