1493,"SELECT DISTINCT p.ra , p.dec FROM PhotoObjAll p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = # GROUP BY p.ra, p.dec"
2019-01-15 10:12:00,6
2019-01-15 10:13:00,31
2019-01-15 10:14:00,33
2019-01-15 10:15:00,50
2019-01-15 10:16:00,23
2019-01-15 10:17:00,47
2019-01-15 10:18:00,32
2019-01-15 10:19:00,18
2019-01-15 10:20:00,26
2019-01-15 10:21:00,34
2019-01-15 10:22:00,42
2019-01-15 10:23:00,31
2019-01-15 10:24:00,74
2019-01-15 10:25:00,35
2019-01-15 10:26:00,50
2019-01-15 10:27:00,26
2019-01-15 10:28:00,44
2019-01-15 10:29:00,35
2019-01-15 10:30:00,20
2019-01-15 10:31:00,35
2019-01-15 10:32:00,23
2019-01-15 10:33:00,42
2019-01-15 10:34:00,50
2019-01-15 10:35:00,15
2019-01-15 10:43:00,5
2019-01-15 10:44:00,15
2019-01-15 10:46:00,25
2019-01-15 10:47:00,10
2019-01-15 10:48:00,11
2019-01-15 10:49:00,4
2019-01-15 10:50:00,2
2019-01-15 10:56:00,18
2019-01-15 10:57:00,12
2019-01-15 10:58:00,10
2019-01-15 10:59:00,15
2019-01-15 11:00:00,5
2019-01-15 11:01:00,14
2019-01-15 11:02:00,6
2019-01-15 11:03:00,20
2019-01-15 11:04:00,10
2019-01-15 11:05:00,10
2019-01-15 11:06:00,2
2019-01-15 11:14:00,15
2019-01-15 11:15:00,2
2019-01-15 11:16:00,1
2019-01-15 11:17:00,9
2019-01-15 11:18:00,2
2019-01-15 11:24:00,5
2019-01-15 11:49:00,5
2019-01-15 12:10:00,20
2019-01-15 12:12:00,20
2019-01-15 12:13:00,10
2019-01-15 12:16:00,20
2019-01-15 12:17:00,15
2019-01-15 12:18:00,6
2019-01-15 12:19:00,17
2019-01-15 12:20:00,12
2019-01-15 12:21:00,10
2019-01-15 12:22:00,10
2019-01-15 12:23:00,10
2019-01-15 12:24:00,10
2019-01-15 12:25:00,10
2019-01-15 12:26:00,10
2019-01-15 12:27:00,10
2019-01-15 12:34:00,16
2019-01-15 12:35:00,5
2019-01-15 13:04:00,5
2019-01-15 13:05:00,10
2019-01-15 13:11:00,35
2019-01-15 13:13:00,10
2019-01-15 13:18:00,30
2019-01-15 13:19:00,20
2019-01-15 13:26:00,3
2019-01-15 13:33:00,5
2019-01-15 13:34:00,34
2019-01-15 13:35:00,24
2019-01-15 13:36:00,47
2019-01-15 13:37:00,3
2019-01-15 19:20:00,1
