2,"select s.z,s.ra,s.dec as redshift into mydb.dr1#_apr1#_#_mp1_# from galaxy p, specobj s, dbo.fgetNearByObjEq(#,#,#) n where p.objid=s.bestobjid and p.objid=n.objid and s.bestobjid=n.objid and s.z BETWEEN # AND #"
2019-04-21 13:23:00,1
2019-04-21 13:48:00,1
