361,"SELECT p.objid, p.type, p.clean, p.ra, p.dec, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, p.petroR9#_u, p.petroR9#_g, p.petroR9#_r, p.petroR9#_i, p.petroR9#_z, p.psffwhm_u, p.psffwhm_g, p.psffwhm_r, p.psffwhm_i, p.psffwhm_z, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, pz.z, pz.zErr FROM PhotoObj AS p , dbo.fGetNearbyObjEq(#, #, #) AS n LEFT JOIN Photoz AS pz ON pz.objID = n.objID WHERE n.objID = p.objID"
2019-04-21 03:34:00,2
2019-04-21 03:36:00,4
2019-04-21 03:38:00,1
2019-04-21 03:40:00,1
2019-04-21 03:42:00,1
2019-04-21 03:45:00,1
2019-04-21 03:47:00,1
2019-04-21 03:49:00,5
2019-04-21 03:51:00,1
2019-04-21 03:53:00,6
2019-04-21 03:55:00,1
2019-04-21 03:57:00,1
2019-04-21 03:59:00,1
2019-04-21 04:01:00,3
2019-04-21 04:04:00,1
2019-04-21 04:06:00,3
2019-04-21 04:08:00,1
2019-04-21 04:10:00,2
2019-04-21 04:12:00,1
2019-04-21 04:14:00,2
2019-04-21 04:16:00,1
2019-04-21 04:18:00,2
2019-04-21 04:21:00,2
2019-04-21 04:23:00,1
2019-04-21 04:25:00,1
2019-04-21 04:27:00,1
2019-04-21 04:29:00,1
2019-04-21 04:31:00,2
2019-04-21 04:33:00,1
2019-04-21 04:35:00,1
2019-04-21 04:37:00,1
2019-04-21 04:39:00,1
2019-04-21 04:41:00,1
2019-04-21 04:43:00,1
2019-04-21 04:46:00,1
2019-04-21 04:48:00,1
2019-04-21 04:50:00,1
2019-04-21 04:52:00,1
2019-04-21 04:54:00,1
2019-04-21 04:56:00,4
2019-04-21 04:58:00,1
2019-04-21 05:00:00,1
2019-04-21 05:02:00,3
2019-04-21 05:05:00,2
2019-04-21 05:07:00,2
2019-04-21 05:09:00,8
2019-04-21 05:11:00,3
2019-04-21 05:13:00,3
