453,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-04-21 12:31:00,6
2019-04-21 12:33:00,21
2019-04-21 12:34:00,16
2019-04-21 12:35:00,26
2019-04-21 12:36:00,11
2019-04-21 12:37:00,27
2019-04-21 12:38:00,7
2019-04-21 12:39:00,42
2019-04-21 12:40:00,9
2019-04-21 12:42:00,22
2019-04-21 12:43:00,32
2019-04-21 12:44:00,27
2019-04-21 12:45:00,8
2019-04-21 12:47:00,24
2019-04-21 12:48:00,2
2019-04-21 12:49:00,12
2019-04-21 12:50:00,8
2019-04-21 12:54:00,9
2019-04-21 12:55:00,8
2019-04-21 12:56:00,23
2019-04-21 12:57:00,8
2019-04-21 12:58:00,85
2019-04-21 12:59:00,20
