83,"SELECT TOP # rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-04-21 08:45:00,1
2019-04-21 11:15:00,1
2019-04-21 12:15:00,8
2019-04-21 12:34:00,1
2019-04-21 12:35:00,22
2019-04-21 12:42:00,1
2019-04-21 12:49:00,1
2019-04-21 12:56:00,1
2019-04-21 13:02:00,1
2019-04-21 13:05:00,16
2019-04-21 13:09:00,1
2019-04-21 13:10:00,1
2019-04-21 13:16:00,1
2019-04-21 13:20:00,2
2019-04-21 13:30:00,1
2019-04-21 13:35:00,1
2019-04-21 13:40:00,1
2019-04-21 13:52:00,1
2019-04-21 14:03:00,1
2019-04-21 14:12:00,1
2019-04-21 14:21:00,1
2019-04-21 14:36:00,1
2019-04-21 14:46:00,1
2019-04-21 14:54:00,1
2019-04-21 15:03:00,1
2019-04-21 15:14:00,1
2019-04-21 15:23:00,1
2019-04-21 15:32:00,1
2019-04-21 15:41:00,1
2019-04-21 15:52:00,1
2019-04-21 15:59:00,1
2019-04-21 16:17:00,1
2019-04-21 17:15:00,1
2019-04-21 19:20:00,2
2019-04-21 20:00:00,3
2019-04-21 23:20:00,1
