43,"select [enum], [name], [type], [length], [unit], [ucd], [description] from dbo.fDocColumns(&&&) ORDER BY [columnID]"
2019-06-10 00:28:00,1
2019-06-10 01:33:00,1
2019-06-10 01:34:00,1
2019-06-10 01:38:00,2
2019-06-10 01:49:00,1
2019-06-10 03:35:00,1
2019-06-10 03:59:00,1
2019-06-10 04:26:00,1
2019-06-10 05:15:00,1
2019-06-10 05:17:00,1
2019-06-10 06:10:00,1
2019-06-10 07:31:00,1
2019-06-10 09:08:00,1
2019-06-10 10:20:00,1
2019-06-10 10:35:00,1
2019-06-10 10:47:00,1
2019-06-10 11:16:00,1
2019-06-10 11:18:00,1
2019-06-10 12:42:00,1
2019-06-10 12:43:00,1
2019-06-10 13:00:00,1
2019-06-10 13:07:00,1
2019-06-10 13:45:00,1
2019-06-10 13:47:00,1
2019-06-10 14:08:00,1
2019-06-10 14:09:00,1
2019-06-10 14:11:00,1
2019-06-10 14:12:00,1
2019-06-10 14:13:00,1
2019-06-10 14:19:00,2
2019-06-10 14:27:00,1
2019-06-10 14:28:00,1
2019-06-10 14:30:00,1
2019-06-10 14:32:00,1
2019-06-10 14:33:00,1
2019-06-10 14:34:00,1
2019-06-10 15:42:00,1
2019-06-10 15:44:00,1
2019-06-10 17:21:00,1
2019-06-10 21:18:00,2
