231,select * from dbo.fDocColumns(&&&)
2019-06-10 00:05:00,1
2019-06-10 00:57:00,1
2019-06-10 01:00:00,1
2019-06-10 01:07:00,1
2019-06-10 01:13:00,1
2019-06-10 01:14:00,1
2019-06-10 01:15:00,1
2019-06-10 01:19:00,1
2019-06-10 01:22:00,1
2019-06-10 01:23:00,2
2019-06-10 01:47:00,1
2019-06-10 01:50:00,1
2019-06-10 01:51:00,1
2019-06-10 01:52:00,1
2019-06-10 02:09:00,1
2019-06-10 02:32:00,1
2019-06-10 02:44:00,2
2019-06-10 02:47:00,1
2019-06-10 03:34:00,1
2019-06-10 03:38:00,1
2019-06-10 03:43:00,1
2019-06-10 03:49:00,2
2019-06-10 04:37:00,1
2019-06-10 04:44:00,1
2019-06-10 04:53:00,1
2019-06-10 04:56:00,2
2019-06-10 04:59:00,1
2019-06-10 05:07:00,1
2019-06-10 05:12:00,1
2019-06-10 05:17:00,1
2019-06-10 05:18:00,1
2019-06-10 05:31:00,1
2019-06-10 05:51:00,1
2019-06-10 06:14:00,1
2019-06-10 06:41:00,1
2019-06-10 06:45:00,1
2019-06-10 06:59:00,1
2019-06-10 07:08:00,1
2019-06-10 07:09:00,1
2019-06-10 07:18:00,1
2019-06-10 07:28:00,1
2019-06-10 07:32:00,2
2019-06-10 07:35:00,3
2019-06-10 07:36:00,1
2019-06-10 07:38:00,1
2019-06-10 07:40:00,1
2019-06-10 07:44:00,1
2019-06-10 07:54:00,1
2019-06-10 08:03:00,1
2019-06-10 08:09:00,1
2019-06-10 08:18:00,2
2019-06-10 08:20:00,1
2019-06-10 08:32:00,1
2019-06-10 09:13:00,2
2019-06-10 09:14:00,2
2019-06-10 09:23:00,1
2019-06-10 09:25:00,1
2019-06-10 09:28:00,1
2019-06-10 09:37:00,3
2019-06-10 09:48:00,1
2019-06-10 09:51:00,2
2019-06-10 09:52:00,1
2019-06-10 09:55:00,2
2019-06-10 10:05:00,1
2019-06-10 10:08:00,3
2019-06-10 10:09:00,1
2019-06-10 10:10:00,2
2019-06-10 10:17:00,1
2019-06-10 10:27:00,1
2019-06-10 10:33:00,2
2019-06-10 10:36:00,2
2019-06-10 11:00:00,1
2019-06-10 11:24:00,2
2019-06-10 11:27:00,1
2019-06-10 11:47:00,2
2019-06-10 11:49:00,1
2019-06-10 11:54:00,1
2019-06-10 12:25:00,3
2019-06-10 12:31:00,1
2019-06-10 12:43:00,1
2019-06-10 12:52:00,2
2019-06-10 12:59:00,2
2019-06-10 13:06:00,1
2019-06-10 13:07:00,1
2019-06-10 13:14:00,1
2019-06-10 13:22:00,1
2019-06-10 13:23:00,3
2019-06-10 13:27:00,1
2019-06-10 13:28:00,1
2019-06-10 13:55:00,2
2019-06-10 13:56:00,1
2019-06-10 14:05:00,1
2019-06-10 14:06:00,2
2019-06-10 14:08:00,1
2019-06-10 14:29:00,1
2019-06-10 14:40:00,1
2019-06-10 14:41:00,1
2019-06-10 14:54:00,1
2019-06-10 14:55:00,2
2019-06-10 15:02:00,1
2019-06-10 15:03:00,1
2019-06-10 15:05:00,1
2019-06-10 15:09:00,1
2019-06-10 15:35:00,1
2019-06-10 16:10:00,1
2019-06-10 16:27:00,1
2019-06-10 16:37:00,1
2019-06-10 16:38:00,2
2019-06-10 16:39:00,2
2019-06-10 16:53:00,3
2019-06-10 17:09:00,1
2019-06-10 17:12:00,1
2019-06-10 17:14:00,1
2019-06-10 17:15:00,1
2019-06-10 17:24:00,1
2019-06-10 17:43:00,1
2019-06-10 17:53:00,1
2019-06-10 18:13:00,1
2019-06-10 18:16:00,2
2019-06-10 18:25:00,3
2019-06-10 18:28:00,1
2019-06-10 18:45:00,1
2019-06-10 18:52:00,2
2019-06-10 19:10:00,1
2019-06-10 19:18:00,1
2019-06-10 19:21:00,1
2019-06-10 19:45:00,1
2019-06-10 19:53:00,1
2019-06-10 19:59:00,1
2019-06-10 20:13:00,1
2019-06-10 20:39:00,1
2019-06-10 20:41:00,1
2019-06-10 20:47:00,2
2019-06-10 21:28:00,1
2019-06-10 21:39:00,2
2019-06-10 21:42:00,3
2019-06-10 21:44:00,1
2019-06-10 21:45:00,2
2019-06-10 21:48:00,2
2019-06-10 21:51:00,2
2019-06-10 21:53:00,1
2019-06-10 21:54:00,1
2019-06-10 21:55:00,2
2019-06-10 21:57:00,3
2019-06-10 21:58:00,1
2019-06-10 21:59:00,1
2019-06-10 22:00:00,2
2019-06-10 22:01:00,1
2019-06-10 22:02:00,1
2019-06-10 22:06:00,1
2019-06-10 22:08:00,1
2019-06-10 22:09:00,2
2019-06-10 22:11:00,3
2019-06-10 22:15:00,2
2019-06-10 22:18:00,2
2019-06-10 22:20:00,2
2019-06-10 22:22:00,1
2019-06-10 22:23:00,1
2019-06-10 22:29:00,2
2019-06-10 22:43:00,1
2019-06-10 23:16:00,1
2019-06-10 23:20:00,2
2019-06-10 23:22:00,1
2019-06-10 23:29:00,1
2019-06-10 23:37:00,2
2019-06-10 23:41:00,1
2019-06-10 23:45:00,2
2019-06-10 23:47:00,1
2019-06-10 23:52:00,2
2019-06-10 23:53:00,1
2019-06-10 23:59:00,1
