562,"SELECT DISTINCT p.ra, p.dec, p.r, s.z, s.mjd, s.instrument FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-06-10 21:50:00,1
2019-06-10 22:06:00,1
2019-06-10 22:54:00,8
2019-06-10 22:55:00,22
2019-06-10 22:56:00,30
2019-06-10 22:57:00,44
2019-06-10 22:58:00,48
2019-06-10 22:59:00,22
2019-06-10 23:00:00,19
2019-06-10 23:01:00,25
2019-06-10 23:02:00,23
2019-06-10 23:03:00,24
2019-06-10 23:04:00,19
2019-06-10 23:05:00,27
2019-06-10 23:06:00,20
2019-06-10 23:07:00,22
2019-06-10 23:08:00,25
2019-06-10 23:09:00,26
2019-06-10 23:10:00,43
2019-06-10 23:11:00,38
2019-06-10 23:12:00,28
2019-06-10 23:13:00,24
2019-06-10 23:14:00,23
