13,"SELECT TOP # p.objid,  p.run, p.rerun, p.camcol, p.field, p.obj,  p.type, p.ra, p.dec, p.u,p.g, p.r, p.i, p.z,  p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z  FROM fGetObjFromRect(#,#,#,#) n, PhotoPrimary p  WHERE n.objID=p.objID"
2019-06-10 08:59:00,1
2019-06-10 09:01:00,1
2019-06-10 09:03:00,1
2019-06-10 09:05:00,1
2019-06-10 09:07:00,1
2019-06-10 09:08:00,1
2019-06-10 09:09:00,1
2019-06-10 09:10:00,1
2019-06-10 09:11:00,1
2019-06-10 09:13:00,1
2019-06-10 09:14:00,1
2019-06-10 18:10:00,1
2019-06-10 19:25:00,1
