35,"SELECT DISTINCT p.ra, p.dec, p.r, s.z, s.mjd, s.instrument FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #e-#))"
2019-06-10 22:54:00,1
2019-06-10 22:55:00,1
2019-06-10 22:56:00,2
2019-06-10 22:57:00,3
2019-06-10 22:58:00,2
2019-06-10 22:59:00,2
2019-06-10 23:00:00,1
2019-06-10 23:01:00,2
2019-06-10 23:02:00,1
2019-06-10 23:03:00,2
2019-06-10 23:04:00,1
2019-06-10 23:05:00,1
2019-06-10 23:06:00,2
2019-06-10 23:07:00,1
2019-06-10 23:08:00,2
2019-06-10 23:09:00,1
2019-06-10 23:10:00,3
2019-06-10 23:11:00,2
2019-06-10 23:12:00,2
2019-06-10 23:13:00,2
2019-06-10 23:14:00,1
