15104,"SELECT  top # &&& + cast(p.objId as varchar(#)) + &&& + cast(p.objId as varchar(#)) + &&& as objID,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-06-10 00:00:00,13
2019-06-10 00:01:00,4
2019-06-10 00:02:00,2
2019-06-10 00:03:00,19
2019-06-10 00:04:00,16
2019-06-10 00:05:00,13
2019-06-10 00:06:00,12
2019-06-10 00:07:00,17
2019-06-10 00:09:00,5
2019-06-10 00:10:00,13
2019-06-10 00:11:00,4
2019-06-10 00:12:00,2
2019-06-10 00:13:00,17
2019-06-10 00:14:00,16
2019-06-10 00:15:00,13
2019-06-10 00:16:00,12
2019-06-10 00:17:00,17
2019-06-10 00:19:00,5
2019-06-10 00:20:00,15
2019-06-10 00:21:00,4
2019-06-10 00:22:00,2
2019-06-10 00:23:00,17
2019-06-10 00:24:00,16
2019-06-10 00:25:00,13
2019-06-10 00:26:00,12
2019-06-10 00:27:00,17
2019-06-10 00:29:00,5
2019-06-10 00:30:00,13
2019-06-10 00:31:00,4
2019-06-10 00:32:00,2
2019-06-10 00:33:00,20
2019-06-10 00:34:00,16
2019-06-10 00:35:00,13
2019-06-10 00:36:00,12
2019-06-10 00:37:00,17
2019-06-10 00:39:00,7
2019-06-10 00:40:00,15
2019-06-10 00:41:00,5
2019-06-10 00:42:00,17
2019-06-10 00:43:00,27
2019-06-10 00:44:00,35
2019-06-10 00:45:00,36
2019-06-10 00:46:00,34
2019-06-10 00:47:00,50
2019-06-10 00:48:00,30
2019-06-10 00:49:00,33
2019-06-10 00:50:00,10
2019-06-10 00:53:00,1
2019-06-10 00:54:00,13
2019-06-10 00:55:00,4
2019-06-10 00:56:00,2
2019-06-10 00:57:00,19
2019-06-10 00:58:00,20
2019-06-10 00:59:00,34
2019-06-10 01:00:00,10
2019-06-10 01:03:00,1
2019-06-10 01:05:00,4
2019-06-10 01:06:00,2
2019-06-10 01:07:00,17
2019-06-10 01:08:00,22
2019-06-10 01:09:00,36
2019-06-10 01:10:00,10
2019-06-10 01:13:00,1
2019-06-10 01:14:00,13
2019-06-10 01:15:00,5
2019-06-10 01:16:00,2
2019-06-10 01:17:00,17
2019-06-10 01:18:00,20
2019-06-10 01:19:00,33
2019-06-10 01:20:00,10
2019-06-10 01:23:00,1
2019-06-10 01:24:00,9
2019-06-10 01:25:00,8
2019-06-10 01:26:00,2
2019-06-10 01:27:00,21
2019-06-10 01:28:00,21
2019-06-10 01:29:00,36
2019-06-10 01:30:00,10
2019-06-10 01:33:00,1
2019-06-10 01:34:00,10
2019-06-10 01:35:00,7
2019-06-10 01:36:00,2
2019-06-10 01:37:00,23
2019-06-10 01:38:00,20
2019-06-10 01:39:00,34
2019-06-10 01:40:00,11
2019-06-10 01:43:00,1
2019-06-10 01:44:00,12
2019-06-10 01:45:00,7
2019-06-10 01:46:00,2
2019-06-10 01:47:00,20
2019-06-10 01:48:00,22
2019-06-10 01:49:00,32
2019-06-10 01:50:00,11
2019-06-10 01:53:00,1
2019-06-10 01:54:00,10
2019-06-10 01:55:00,7
2019-06-10 01:56:00,2
2019-06-10 01:57:00,20
2019-06-10 01:58:00,20
2019-06-10 01:59:00,32
2019-06-10 02:00:00,10
2019-06-10 02:03:00,1
2019-06-10 02:05:00,7
2019-06-10 02:06:00,2
2019-06-10 02:07:00,19
2019-06-10 02:08:00,22
2019-06-10 02:09:00,33
2019-06-10 02:10:00,11
2019-06-10 02:13:00,1
2019-06-10 02:15:00,17
2019-06-10 02:16:00,2
2019-06-10 02:17:00,16
2019-06-10 02:18:00,23
2019-06-10 02:19:00,38
2019-06-10 02:20:00,10
2019-06-10 02:23:00,1
2019-06-10 02:24:00,3
2019-06-10 02:25:00,14
2019-06-10 02:26:00,2
2019-06-10 02:27:00,19
2019-06-10 02:28:00,22
2019-06-10 02:29:00,34
2019-06-10 02:30:00,10
2019-06-10 02:33:00,1
2019-06-10 02:34:00,3
2019-06-10 02:35:00,14
2019-06-10 02:36:00,2
2019-06-10 02:37:00,15
2019-06-10 02:38:00,22
2019-06-10 02:39:00,32
2019-06-10 02:40:00,10
2019-06-10 02:43:00,1
2019-06-10 02:44:00,3
2019-06-10 02:45:00,15
2019-06-10 02:46:00,2
2019-06-10 02:47:00,17
2019-06-10 02:48:00,22
2019-06-10 02:49:00,32
2019-06-10 02:50:00,10
2019-06-10 02:53:00,1
2019-06-10 02:55:00,17
2019-06-10 02:56:00,2
2019-06-10 02:57:00,15
2019-06-10 02:58:00,24
2019-06-10 02:59:00,34
2019-06-10 03:00:00,10
2019-06-10 03:03:00,1
2019-06-10 03:05:00,17
2019-06-10 03:06:00,2
2019-06-10 03:07:00,19
2019-06-10 03:08:00,23
2019-06-10 03:09:00,32
2019-06-10 03:10:00,10
2019-06-10 03:13:00,1
2019-06-10 03:15:00,18
2019-06-10 03:16:00,2
2019-06-10 03:17:00,15
2019-06-10 03:18:00,22
2019-06-10 03:19:00,32
2019-06-10 03:20:00,10
2019-06-10 03:23:00,1
2019-06-10 03:25:00,17
2019-06-10 03:26:00,2
2019-06-10 03:27:00,15
2019-06-10 03:28:00,22
2019-06-10 03:29:00,26
2019-06-10 03:30:00,17
2019-06-10 03:33:00,1
2019-06-10 03:35:00,17
2019-06-10 03:36:00,2
2019-06-10 03:37:00,17
2019-06-10 03:38:00,24
2019-06-10 03:39:00,31
2019-06-10 03:40:00,13
2019-06-10 03:43:00,1
2019-06-10 03:45:00,21
2019-06-10 03:46:00,2
2019-06-10 03:47:00,15
2019-06-10 03:48:00,22
2019-06-10 03:49:00,33
2019-06-10 03:50:00,13
2019-06-10 03:53:00,1
2019-06-10 03:55:00,17
2019-06-10 03:56:00,2
2019-06-10 03:57:00,15
2019-06-10 03:58:00,22
2019-06-10 03:59:00,22
2019-06-10 04:00:00,20
2019-06-10 04:03:00,1
2019-06-10 04:05:00,17
2019-06-10 04:06:00,2
2019-06-10 04:07:00,17
2019-06-10 04:08:00,22
2019-06-10 04:09:00,23
2019-06-10 04:10:00,21
2019-06-10 04:13:00,1
2019-06-10 04:15:00,18
2019-06-10 04:16:00,2
2019-06-10 04:17:00,15
2019-06-10 04:18:00,24
2019-06-10 04:19:00,22
2019-06-10 04:20:00,21
2019-06-10 04:23:00,1
2019-06-10 04:25:00,18
2019-06-10 04:26:00,2
2019-06-10 04:27:00,15
2019-06-10 04:28:00,24
2019-06-10 04:29:00,25
2019-06-10 04:30:00,19
2019-06-10 04:33:00,1
2019-06-10 04:35:00,17
2019-06-10 04:36:00,2
2019-06-10 04:37:00,15
2019-06-10 04:38:00,22
2019-06-10 04:39:00,23
2019-06-10 04:40:00,21
2019-06-10 04:43:00,1
2019-06-10 04:45:00,20
2019-06-10 04:46:00,2
2019-06-10 04:47:00,15
2019-06-10 04:48:00,22
2019-06-10 04:49:00,22
2019-06-10 04:50:00,20
2019-06-10 04:53:00,1
2019-06-10 04:55:00,19
2019-06-10 04:56:00,2
2019-06-10 04:57:00,15
2019-06-10 04:58:00,24
2019-06-10 04:59:00,18
2019-06-10 05:00:00,25
2019-06-10 05:03:00,1
2019-06-10 05:05:00,19
2019-06-10 05:06:00,2
2019-06-10 05:07:00,16
2019-06-10 05:08:00,22
2019-06-10 05:09:00,17
2019-06-10 05:10:00,26
2019-06-10 05:13:00,1
2019-06-10 05:15:00,18
2019-06-10 05:16:00,2
2019-06-10 05:17:00,17
2019-06-10 05:18:00,24
2019-06-10 05:19:00,16
2019-06-10 05:20:00,26
2019-06-10 05:23:00,1
2019-06-10 05:25:00,17
2019-06-10 05:26:00,2
2019-06-10 05:27:00,17
2019-06-10 05:28:00,24
2019-06-10 05:29:00,16
2019-06-10 05:30:00,26
2019-06-10 05:33:00,1
2019-06-10 05:35:00,19
2019-06-10 05:36:00,2
2019-06-10 05:37:00,4
2019-06-10 05:38:00,34
2019-06-10 05:39:00,16
2019-06-10 05:40:00,26
2019-06-10 05:43:00,1
2019-06-10 05:45:00,18
2019-06-10 05:46:00,2
2019-06-10 05:47:00,5
2019-06-10 05:48:00,32
2019-06-10 05:49:00,16
2019-06-10 05:50:00,27
2019-06-10 05:53:00,1
2019-06-10 05:55:00,18
2019-06-10 05:56:00,2
2019-06-10 05:57:00,5
2019-06-10 05:58:00,38
2019-06-10 05:59:00,16
2019-06-10 06:00:00,26
2019-06-10 06:03:00,1
2019-06-10 06:05:00,20
2019-06-10 06:06:00,2
2019-06-10 06:07:00,7
2019-06-10 06:08:00,29
2019-06-10 06:09:00,19
2019-06-10 06:10:00,29
2019-06-10 06:13:00,1
2019-06-10 06:15:00,18
2019-06-10 06:16:00,2
2019-06-10 06:17:00,5
2019-06-10 06:18:00,32
2019-06-10 06:19:00,19
2019-06-10 06:20:00,27
2019-06-10 06:23:00,1
2019-06-10 06:25:00,18
2019-06-10 06:26:00,2
2019-06-10 06:27:00,3
2019-06-10 06:28:00,33
2019-06-10 06:29:00,19
2019-06-10 06:30:00,27
2019-06-10 06:33:00,1
2019-06-10 06:35:00,18
2019-06-10 06:36:00,2
2019-06-10 06:37:00,23
2019-06-10 06:38:00,33
2019-06-10 06:39:00,40
2019-06-10 06:40:00,56
2019-06-10 06:41:00,23
2019-06-10 06:42:00,13
2019-06-10 06:43:00,5
2019-06-10 06:44:00,2
2019-06-10 06:45:00,1
2019-06-10 06:46:00,2
2019-06-10 06:49:00,20
2019-06-10 06:50:00,49
2019-06-10 06:51:00,18
2019-06-10 06:52:00,11
2019-06-10 06:53:00,5
2019-06-10 06:54:00,2
2019-06-10 06:55:00,1
2019-06-10 06:56:00,2
2019-06-10 06:59:00,20
2019-06-10 07:00:00,46
2019-06-10 07:01:00,20
2019-06-10 07:02:00,11
2019-06-10 07:03:00,5
2019-06-10 07:04:00,2
2019-06-10 07:05:00,1
2019-06-10 07:06:00,2
2019-06-10 07:09:00,18
2019-06-10 07:10:00,50
2019-06-10 07:11:00,20
2019-06-10 07:12:00,11
2019-06-10 07:13:00,5
2019-06-10 07:14:00,2
2019-06-10 07:15:00,1
2019-06-10 07:16:00,2
2019-06-10 07:19:00,19
2019-06-10 07:20:00,46
2019-06-10 07:21:00,18
2019-06-10 07:22:00,11
2019-06-10 07:23:00,5
2019-06-10 07:24:00,2
2019-06-10 07:25:00,1
2019-06-10 07:26:00,2
2019-06-10 07:29:00,18
2019-06-10 07:30:00,47
2019-06-10 07:31:00,20
2019-06-10 07:32:00,11
2019-06-10 07:33:00,5
2019-06-10 07:34:00,2
2019-06-10 07:35:00,1
2019-06-10 07:36:00,2
2019-06-10 07:39:00,17
2019-06-10 07:40:00,49
2019-06-10 07:41:00,17
2019-06-10 07:42:00,12
2019-06-10 07:43:00,5
2019-06-10 07:44:00,2
2019-06-10 07:45:00,1
2019-06-10 07:46:00,2
2019-06-10 07:49:00,17
2019-06-10 07:50:00,43
2019-06-10 07:51:00,18
