2,"SELECT p.ra,p.dec,p.type,ISNULL(s.zWarning,#) as zWarning FROM BESTDR7..Galaxy AS p LEFT OUTER JOIN BESTDR7..SpecObj s ON p.objID = s.bestObjID 	JOIN #x AS x ON x.objID=p.objID JOIN #upload AS u ON u.up_id = x.up_id   ORDER BY x.up_id"
2019-06-10 21:47:00,1
2019-06-10 22:15:00,1
