29,select count(*) as thecount
2019-06-10 08:47:00,1
2019-06-10 10:17:00,1
2019-06-10 10:19:00,1
2019-06-10 10:26:00,1
2019-06-10 10:45:00,1
2019-06-10 10:56:00,1
2019-06-10 11:16:00,1
2019-06-10 11:17:00,2
2019-06-10 11:22:00,1
2019-06-10 11:25:00,1
2019-06-10 11:30:00,1
2019-06-10 11:35:00,1
2019-06-10 11:39:00,1
2019-06-10 11:43:00,1
2019-06-10 11:47:00,1
2019-06-10 11:54:00,1
2019-06-10 11:58:00,1
2019-06-10 12:03:00,1
2019-06-10 12:08:00,1
2019-06-10 12:20:00,2
2019-06-10 16:57:00,1
2019-06-10 17:18:00,1
2019-06-10 17:39:00,1
2019-06-10 17:44:00,1
2019-06-10 17:49:00,1
2019-06-10 18:13:00,1
2019-06-10 19:07:00,1
