43,"select p.run, p.camcol, p.field from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-06-10 05:44:00,1
2019-06-10 05:45:00,3
2019-06-10 05:47:00,2
2019-06-10 05:49:00,4
2019-06-10 05:57:00,1
2019-06-10 05:58:00,1
2019-06-10 06:03:00,2
2019-06-10 06:05:00,4
2019-06-10 06:06:00,2
2019-06-10 06:08:00,2
2019-06-10 06:14:00,3
2019-06-10 09:04:00,1
2019-06-10 09:05:00,5
2019-06-10 09:09:00,5
2019-06-10 09:10:00,3
2019-06-10 09:16:00,2
2019-06-10 09:20:00,2
