562,"select [indexMapID],[code],[type],[tableName],[fieldList],[foreignKey] from IndexMap  where tableName=&&& order by [indexMapId]"
2019-10-23 01:08:00,2
2019-10-23 03:31:00,42
2019-10-23 04:47:00,60
2019-10-23 07:08:00,84
2019-10-23 10:20:00,1
2019-10-23 10:51:00,42
2019-10-23 12:34:00,1
2019-10-23 12:54:00,2
2019-10-23 13:38:00,18
2019-10-23 14:14:00,18
2019-10-23 16:32:00,18
2019-10-23 17:20:00,3
2019-10-23 17:21:00,22
2019-10-23 17:22:00,17
2019-10-23 17:45:00,9
2019-10-23 17:46:00,10
2019-10-23 17:47:00,12
2019-10-23 17:48:00,57
2019-10-23 18:28:00,18
2019-10-23 19:15:00,17
2019-10-23 19:16:00,28
2019-10-23 19:24:00,30
2019-10-23 19:25:00,15
2019-10-23 21:46:00,36
