6972,"select                                                                              G.objID, G.ra, G.dec,                                                       G.petroMag_u, G.petroMag_g, G.petroMag_r, G.petroMag_i, G.petroMag_z,                      G.petroMagErr_u, G.petroMagErr_g, G.petroMagErr_r, G.petroMagErr_i, G.petroMagErr_z,       ph.z                                                                    from                                                                                              Galaxy as G, dbo.fGetNearbyObjEq(#,#,#) as N, photoz as ph                       where                                                                                             G.objID = N.objID and                                                                      ph.objID = N.objID and                                                                     ph.z># and                                                                                ph.z<#"
2019-10-23 00:00:00,14
2019-10-23 00:01:00,16
2019-10-23 00:02:00,16
2019-10-23 00:03:00,14
2019-10-23 00:04:00,16
2019-10-23 00:05:00,15
2019-10-23 00:06:00,12
2019-10-23 00:07:00,17
2019-10-23 00:08:00,15
2019-10-23 00:09:00,16
2019-10-23 00:10:00,16
2019-10-23 00:11:00,13
2019-10-23 00:12:00,12
2019-10-23 00:13:00,14
2019-10-23 00:14:00,19
2019-10-23 00:15:00,19
2019-10-23 00:16:00,17
2019-10-23 00:17:00,15
2019-10-23 00:18:00,13
2019-10-23 00:19:00,15
2019-10-23 00:20:00,16
2019-10-23 00:21:00,15
2019-10-23 00:22:00,15
2019-10-23 00:23:00,13
2019-10-23 00:24:00,16
2019-10-23 00:25:00,16
2019-10-23 00:26:00,15
2019-10-23 00:27:00,16
2019-10-23 00:28:00,13
2019-10-23 00:29:00,13
2019-10-23 00:30:00,15
2019-10-23 00:31:00,16
2019-10-23 00:32:00,14
2019-10-23 00:33:00,14
2019-10-23 00:34:00,15
2019-10-23 00:35:00,18
2019-10-23 00:36:00,18
2019-10-23 00:37:00,15
2019-10-23 00:38:00,16
2019-10-23 00:39:00,19
2019-10-23 00:40:00,11
2019-10-23 00:41:00,14
2019-10-23 00:42:00,14
2019-10-23 00:43:00,14
2019-10-23 00:44:00,12
2019-10-23 00:45:00,13
2019-10-23 00:46:00,14
2019-10-23 00:47:00,15
2019-10-23 00:48:00,13
2019-10-23 00:49:00,15
2019-10-23 00:50:00,14
2019-10-23 00:51:00,15
2019-10-23 00:52:00,15
2019-10-23 00:53:00,15
2019-10-23 00:54:00,16
2019-10-23 00:55:00,16
2019-10-23 00:56:00,15
2019-10-23 00:57:00,16
2019-10-23 00:58:00,17
2019-10-23 00:59:00,15
2019-10-23 01:00:00,15
2019-10-23 01:01:00,15
