7116,"select top # p.*,   s.z as zspec,   s.zErr as zspec_err, s.zWarning, s.class,   s.subclass, s.primTarget,   s.spectroFlux_u, s.spectroFlux_g, s.spectroFlux_r, s.spectroFlux_i, s.spectroFlux_z,   s.spectroFluxIvar_u, s.spectroFluxIvar_g, s.spectroFluxIvar_r, s.spectroFluxIvar_i, s.spectroFluxIvar_z,   s.snMedian_u, s.snMedian_g, s.snMedian_r, s.snMedian_i, s.snMedian_z  from Galaxy as p, SpecObj as s  where   p.mode = # AND s.zWarning = # AND p.specObjId = s.specObjId AND p.clean = #   AND p.ra > # AND p.ra < # AND p.dec > # AND p.dec < #"
2019-10-23 12:01:00,4
2019-10-23 12:03:00,54
2019-10-23 12:10:00,55
2019-10-23 12:15:00,68
2019-10-23 12:16:00,155
2019-10-23 12:48:00,29
2019-10-23 12:49:00,97
2019-10-23 13:05:00,95
2019-10-23 13:12:00,139
2019-10-23 13:13:00,5
2019-10-23 13:17:00,18
2019-10-23 13:18:00,174
2019-10-23 13:23:00,398
2019-10-23 14:43:00,65
2019-10-23 14:44:00,36
2019-10-23 14:45:00,107
2019-10-23 14:46:00,55
2019-10-23 14:47:00,38
2019-10-23 14:49:00,407
2019-10-23 14:50:00,46
2019-10-23 15:01:00,289
2019-10-23 15:02:00,381
2019-10-23 15:03:00,629
2019-10-23 15:07:00,1639
2019-10-23 15:13:00,338
2019-10-23 15:15:00,1171
2019-10-23 15:16:00,11
2019-10-23 15:22:00,10
2019-10-23 15:24:00,250
2019-10-23 16:24:00,6
2019-10-23 16:25:00,6
2019-10-23 16:26:00,4
2019-10-23 16:27:00,16
2019-10-23 16:30:00,145
2019-10-23 16:58:00,176
