48,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.class, s.z as redshift,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.ra BETWEEN # AND #  AND p.dec BETWEEN # AND #"
2019-10-23 14:04:00,1
2019-10-23 14:07:00,1
2019-10-23 14:08:00,1
2019-10-23 14:10:00,2
2019-10-23 16:32:00,1
2019-10-23 16:34:00,1
2019-10-23 17:30:00,1
2019-10-23 17:31:00,1
2019-10-23 17:32:00,1
2019-10-23 17:34:00,1
2019-10-23 18:00:00,1
2019-10-23 18:07:00,1
2019-10-23 18:12:00,1
2019-10-23 18:13:00,1
2019-10-23 18:16:00,3
2019-10-23 18:21:00,1
2019-10-23 18:23:00,1
2019-10-23 18:24:00,5
2019-10-23 18:25:00,2
2019-10-23 18:26:00,3
2019-10-23 18:27:00,5
2019-10-23 18:28:00,1
2019-10-23 18:30:00,2
2019-10-23 18:31:00,1
2019-10-23 18:34:00,2
2019-10-23 18:37:00,1
2019-10-23 18:39:00,1
2019-10-23 18:40:00,1
2019-10-23 19:48:00,1
2019-10-23 19:49:00,1
2019-10-23 19:50:00,2
