17,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.class, s.z as redshift,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.u BETWEEN # AND #  AND g BETWEEN # AND #"
2019-10-23 16:03:00,1
2019-10-23 17:08:00,1
2019-10-23 18:15:00,1
2019-10-23 18:17:00,2
2019-10-23 18:18:00,1
2019-10-23 18:19:00,2
2019-10-23 18:21:00,1
2019-10-23 18:25:00,4
2019-10-23 18:29:00,2
2019-10-23 19:50:00,1
2019-10-23 19:53:00,1
