2,"select distinct  eid ,JSON_VALUE(Ever_had_eye_surgery_#,&&&) as I0   ,    JSON_VALUE(Ever_had_eye_surgery_#,&&&) as I1"
2019-07-15 15:23:00,1
2019-07-15 15:24:00,1
