27,select * from aspcapStar where apstar_id=&&&
2019-07-15 14:03:00,1
2019-07-15 17:55:00,2
2019-07-15 18:40:00,1
2019-07-15 18:48:00,1
2019-07-15 18:49:00,1
2019-07-15 19:00:00,1
2019-07-15 19:01:00,1
2019-07-15 19:04:00,1
2019-07-15 19:16:00,1
2019-07-15 19:17:00,1
2019-07-15 19:44:00,2
2019-07-15 20:12:00,1
2019-07-15 20:21:00,1
2019-07-15 21:05:00,1
2019-07-15 21:07:00,2
2019-07-15 21:13:00,1
2019-07-15 21:34:00,1
2019-07-15 21:43:00,1
2019-07-15 21:52:00,1
2019-07-15 22:01:00,1
2019-07-15 22:04:00,1
2019-07-15 22:08:00,1
2019-07-15 22:11:00,1
2019-07-15 22:25:00,1
