6,"SELECT p.objId as objid, pz.z,pz.distMod, pz.lumDist FROM galaxy AS p    JOIN SpecObj AS s ON s.bestobjid = p.objid    JOIN Photoz AS pz ON pz.objID = p.objid WHERE pz.z between # and .#"
2019-07-15 11:54:00,1
2019-07-15 11:56:00,2
2019-07-15 11:57:00,1
2019-07-15 11:58:00,2
