11319,"SELECT TOP # p.objid,  p.run, p.rerun, p.camcol, p.field, p.obj,  p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,  p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z  FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p  WHERE n.objID=p.objID"
2019-07-15 00:04:00,38
2019-07-15 00:05:00,20
2019-07-15 00:06:00,2
2019-07-15 00:08:00,1
2019-07-15 00:09:00,15
2019-07-15 00:14:00,38
2019-07-15 00:15:00,20
2019-07-15 00:16:00,2
2019-07-15 00:18:00,1
2019-07-15 00:19:00,15
2019-07-15 00:24:00,38
2019-07-15 00:25:00,20
2019-07-15 00:26:00,2
2019-07-15 00:28:00,1
2019-07-15 00:29:00,15
2019-07-15 00:34:00,38
2019-07-15 00:35:00,20
2019-07-15 00:36:00,2
2019-07-15 00:38:00,1
2019-07-15 00:39:00,15
2019-07-15 00:44:00,37
2019-07-15 00:45:00,21
2019-07-15 00:46:00,2
2019-07-15 00:48:00,1
2019-07-15 00:49:00,15
2019-07-15 00:54:00,38
2019-07-15 00:55:00,20
2019-07-15 00:56:00,2
2019-07-15 00:58:00,1
2019-07-15 00:59:00,15
2019-07-15 01:04:00,38
2019-07-15 01:05:00,20
2019-07-15 01:06:00,3
2019-07-15 01:08:00,1
2019-07-15 01:09:00,15
2019-07-15 01:11:00,1
2019-07-15 01:14:00,34
2019-07-15 01:15:00,24
2019-07-15 01:16:00,3
2019-07-15 01:19:00,16
2019-07-15 01:21:00,1
2019-07-15 01:24:00,17
2019-07-15 01:25:00,43
2019-07-15 01:26:00,2
2019-07-15 01:29:00,16
2019-07-15 01:34:00,17
2019-07-15 01:35:00,41
2019-07-15 01:36:00,2
2019-07-15 01:39:00,16
2019-07-15 01:44:00,17
2019-07-15 01:45:00,41
2019-07-15 01:46:00,2
2019-07-15 01:49:00,16
2019-07-15 01:54:00,17
2019-07-15 01:55:00,41
2019-07-15 01:56:00,2
2019-07-15 01:59:00,16
2019-07-15 02:04:00,17
2019-07-15 02:05:00,41
2019-07-15 02:06:00,2
2019-07-15 02:08:00,1
2019-07-15 02:09:00,16
2019-07-15 02:14:00,17
2019-07-15 02:15:00,41
2019-07-15 02:16:00,2
2019-07-15 02:19:00,16
2019-07-15 02:24:00,17
2019-07-15 02:25:00,41
2019-07-15 02:26:00,2
2019-07-15 02:29:00,16
2019-07-15 02:34:00,17
2019-07-15 02:35:00,41
2019-07-15 02:36:00,2
2019-07-15 02:39:00,16
2019-07-15 02:43:00,1
2019-07-15 02:44:00,17
2019-07-15 02:45:00,41
2019-07-15 02:46:00,2
2019-07-15 02:49:00,16
2019-07-15 02:54:00,17
2019-07-15 02:55:00,41
2019-07-15 02:56:00,2
2019-07-15 02:59:00,16
2019-07-15 03:04:00,16
2019-07-15 03:05:00,42
2019-07-15 03:06:00,2
2019-07-15 03:09:00,16
2019-07-15 03:14:00,17
2019-07-15 03:15:00,41
2019-07-15 03:16:00,2
2019-07-15 03:19:00,16
2019-07-15 03:24:00,17
2019-07-15 03:25:00,41
2019-07-15 03:26:00,2
2019-07-15 03:29:00,16
2019-07-15 03:34:00,17
2019-07-15 03:35:00,41
2019-07-15 03:36:00,2
2019-07-15 03:39:00,16
2019-07-15 03:44:00,16
2019-07-15 03:45:00,42
2019-07-15 03:46:00,2
2019-07-15 03:49:00,16
2019-07-15 03:54:00,16
2019-07-15 03:55:00,42
2019-07-15 03:56:00,2
2019-07-15 03:59:00,16
2019-07-15 04:04:00,16
2019-07-15 04:05:00,38
2019-07-15 04:06:00,2
2019-07-15 04:09:00,16
2019-07-15 04:14:00,16
2019-07-15 04:15:00,42
2019-07-15 04:16:00,2
2019-07-15 04:19:00,16
2019-07-15 04:24:00,16
2019-07-15 04:25:00,42
2019-07-15 04:26:00,2
2019-07-15 04:29:00,16
2019-07-15 04:34:00,16
2019-07-15 04:35:00,42
2019-07-15 04:36:00,2
2019-07-15 04:39:00,16
2019-07-15 04:44:00,16
2019-07-15 04:45:00,42
2019-07-15 04:46:00,2
2019-07-15 04:49:00,14
2019-07-15 04:50:00,2
2019-07-15 04:51:00,1
2019-07-15 04:54:00,16
2019-07-15 04:55:00,42
2019-07-15 04:56:00,2
2019-07-15 04:59:00,14
2019-07-15 05:00:00,2
2019-07-15 05:04:00,16
2019-07-15 05:05:00,38
2019-07-15 05:06:00,2
2019-07-15 05:09:00,14
2019-07-15 05:10:00,2
2019-07-15 05:14:00,16
2019-07-15 05:15:00,43
2019-07-15 05:16:00,2
2019-07-15 05:19:00,14
2019-07-15 05:20:00,2
2019-07-15 05:24:00,16
2019-07-15 05:25:00,42
2019-07-15 05:26:00,2
2019-07-15 05:29:00,14
2019-07-15 05:30:00,2
2019-07-15 05:34:00,16
2019-07-15 05:35:00,42
2019-07-15 05:36:00,2
2019-07-15 05:39:00,14
2019-07-15 05:40:00,2
2019-07-15 05:44:00,16
2019-07-15 05:45:00,42
2019-07-15 05:46:00,2
2019-07-15 05:49:00,14
2019-07-15 05:50:00,2
2019-07-15 05:54:00,15
2019-07-15 05:55:00,43
2019-07-15 05:56:00,2
2019-07-15 05:59:00,14
2019-07-15 06:00:00,2
2019-07-15 06:04:00,15
2019-07-15 06:05:00,43
2019-07-15 06:06:00,2
2019-07-15 06:09:00,14
2019-07-15 06:10:00,2
2019-07-15 06:14:00,15
2019-07-15 06:15:00,43
2019-07-15 06:16:00,2
2019-07-15 06:19:00,14
2019-07-15 06:20:00,2
2019-07-15 06:24:00,15
2019-07-15 06:25:00,43
2019-07-15 06:26:00,2
2019-07-15 06:29:00,14
2019-07-15 06:30:00,2
2019-07-15 06:34:00,15
2019-07-15 06:35:00,43
2019-07-15 06:36:00,2
2019-07-15 06:39:00,14
