88,"select [enum], [name], [type], [length], [unit], [ucd], [description] from dbo.fDocColumns(&&&) ORDER BY [columnID]"
2019-08-12 01:03:00,2
2019-08-12 01:04:00,2
2019-08-12 01:12:00,1
2019-08-12 01:20:00,1
2019-08-12 01:24:00,1
2019-08-12 01:25:00,1
2019-08-12 01:27:00,1
2019-08-12 01:30:00,1
2019-08-12 01:31:00,1
2019-08-12 01:56:00,1
2019-08-12 02:09:00,1
2019-08-12 03:38:00,6
2019-08-12 04:05:00,1
2019-08-12 04:14:00,3
2019-08-12 04:24:00,2
2019-08-12 05:53:00,2
2019-08-12 06:10:00,4
2019-08-12 06:33:00,1
2019-08-12 06:34:00,1
2019-08-12 06:35:00,1
2019-08-12 06:40:00,1
2019-08-12 06:41:00,1
2019-08-12 06:57:00,1
2019-08-12 09:19:00,2
2019-08-12 09:21:00,1
2019-08-12 13:27:00,1
2019-08-12 14:28:00,1
2019-08-12 15:23:00,1
2019-08-12 16:24:00,2
2019-08-12 16:52:00,2
2019-08-12 18:58:00,1
2019-08-12 19:40:00,2
2019-08-12 19:50:00,1
2019-08-12 20:20:00,1
2019-08-12 20:23:00,1
2019-08-12 20:27:00,1
2019-08-12 20:28:00,1
2019-08-12 20:30:00,1
2019-08-12 20:32:00,1
2019-08-12 20:34:00,3
2019-08-12 20:35:00,2
2019-08-12 20:41:00,2
2019-08-12 21:26:00,1
2019-08-12 21:27:00,1
2019-08-12 22:41:00,1
2019-08-12 23:10:00,2
2019-08-12 23:30:00,2
2019-08-12 23:31:00,1
2019-08-12 23:34:00,1
2019-08-12 23:37:00,1
2019-08-12 23:38:00,2
2019-08-12 23:40:00,1
2019-08-12 23:42:00,2
2019-08-12 23:48:00,2
2019-08-12 23:49:00,2
2019-08-12 23:52:00,2
2019-08-12 23:53:00,1
2019-08-12 23:54:00,2
