544,"select p.run, p.camcol, p.field from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-08-12 00:46:00,6
2019-08-12 00:47:00,4
2019-08-12 00:49:00,2
2019-08-12 00:53:00,2
2019-08-12 00:55:00,7
2019-08-12 00:56:00,1
2019-08-12 01:00:00,2
2019-08-12 01:07:00,8
2019-08-12 01:10:00,2
2019-08-12 01:14:00,2
2019-08-12 01:21:00,4
2019-08-12 01:22:00,4
2019-08-12 01:23:00,2
2019-08-12 01:24:00,2
2019-08-12 01:27:00,2
2019-08-12 01:36:00,1
2019-08-12 01:37:00,6
2019-08-12 01:39:00,2
2019-08-12 01:40:00,1
2019-08-12 01:43:00,2
2019-08-12 01:54:00,4
2019-08-12 01:55:00,2
2019-08-12 01:57:00,2
2019-08-12 02:00:00,2
2019-08-12 02:04:00,1
2019-08-12 02:05:00,5
2019-08-12 02:08:00,1
2019-08-12 02:11:00,2
2019-08-12 02:15:00,3
2019-08-12 02:16:00,5
2019-08-12 02:19:00,2
2019-08-12 02:22:00,2
2019-08-12 02:25:00,1
2019-08-12 02:26:00,4
2019-08-12 02:28:00,1
2019-08-12 02:32:00,2
2019-08-12 02:35:00,2
2019-08-12 02:36:00,4
2019-08-12 02:39:00,2
2019-08-12 02:42:00,2
2019-08-12 02:46:00,1
2019-08-12 02:47:00,3
2019-08-12 02:48:00,2
2019-08-12 02:50:00,1
2019-08-12 02:53:00,2
2019-08-12 02:58:00,3
2019-08-12 02:59:00,2
2019-08-12 03:01:00,2
2019-08-12 03:05:00,2
2019-08-12 03:08:00,5
2019-08-12 03:09:00,2
2019-08-12 03:11:00,1
2019-08-12 03:14:00,2
2019-08-12 03:18:00,1
2019-08-12 03:19:00,4
2019-08-12 03:20:00,2
2019-08-12 03:22:00,1
2019-08-12 03:29:00,1
2019-08-12 03:30:00,5
2019-08-12 03:31:00,2
2019-08-12 03:33:00,1
2019-08-12 03:37:00,2
2019-08-12 03:40:00,8
2019-08-12 03:41:00,2
2019-08-12 03:43:00,2
2019-08-12 03:46:00,2
2019-08-12 03:50:00,4
2019-08-12 03:51:00,4
2019-08-12 03:52:00,2
2019-08-12 03:54:00,2
2019-08-12 03:57:00,2
2019-08-12 04:01:00,8
2019-08-12 04:02:00,2
2019-08-12 04:05:00,2
2019-08-12 04:10:00,2
2019-08-12 04:12:00,3
2019-08-12 04:13:00,5
2019-08-12 04:14:00,2
2019-08-12 04:15:00,2
2019-08-12 04:21:00,2
2019-08-12 04:23:00,4
2019-08-12 04:24:00,4
2019-08-12 04:25:00,2
2019-08-12 04:27:00,2
2019-08-12 04:31:00,2
2019-08-12 04:34:00,2
2019-08-12 04:35:00,5
2019-08-12 04:36:00,3
2019-08-12 04:38:00,2
2019-08-12 04:43:00,2
2019-08-12 04:44:00,4
2019-08-12 04:45:00,4
2019-08-12 04:47:00,2
2019-08-12 04:49:00,2
2019-08-12 04:52:00,2
2019-08-12 04:55:00,2
2019-08-12 04:56:00,4
2019-08-12 04:57:00,2
2019-08-12 04:58:00,2
2019-08-12 04:59:00,2
2019-08-12 05:03:00,2
2019-08-12 05:04:00,2
2019-08-12 05:05:00,3
2019-08-12 05:06:00,2
2019-08-12 05:07:00,2
2019-08-12 05:09:00,2
2019-08-12 05:11:00,2
2019-08-12 06:35:00,4
2019-08-12 06:36:00,2
2019-08-12 06:37:00,4
2019-08-12 06:38:00,2
2019-08-12 06:40:00,2
2019-08-12 06:51:00,6
2019-08-12 06:52:00,4
2019-08-12 06:53:00,2
2019-08-12 06:55:00,2
2019-08-12 07:05:00,8
2019-08-12 07:07:00,2
2019-08-12 07:08:00,2
2019-08-12 07:09:00,2
2019-08-12 07:17:00,2
2019-08-12 07:18:00,4
2019-08-12 07:19:00,2
2019-08-12 07:20:00,2
2019-08-12 07:21:00,2
2019-08-12 07:22:00,2
2019-08-12 07:34:00,2
2019-08-12 07:35:00,6
2019-08-12 07:37:00,3
2019-08-12 07:39:00,2
2019-08-12 07:48:00,2
2019-08-12 07:49:00,8
2019-08-12 07:50:00,1
2019-08-12 07:53:00,2
2019-08-12 08:05:00,6
2019-08-12 08:06:00,2
2019-08-12 08:07:00,2
2019-08-12 08:08:00,2
2019-08-12 08:18:00,2
2019-08-12 08:19:00,6
2019-08-12 08:21:00,4
2019-08-12 08:23:00,2
2019-08-12 08:36:00,6
2019-08-12 08:37:00,2
2019-08-12 08:38:00,2
2019-08-12 08:39:00,2
2019-08-12 08:40:00,2
2019-08-12 08:57:00,2
2019-08-12 08:58:00,6
2019-08-12 09:00:00,3
2019-08-12 09:02:00,2
2019-08-12 09:11:00,2
2019-08-12 09:12:00,4
2019-08-12 09:13:00,2
2019-08-12 09:14:00,2
2019-08-12 09:15:00,2
2019-08-12 09:17:00,2
2019-08-12 09:28:00,8
2019-08-12 09:31:00,2
2019-08-12 09:32:00,2
2019-08-12 09:33:00,2
2019-08-12 09:42:00,2
2019-08-12 09:43:00,6
2019-08-12 09:45:00,4
2019-08-12 09:47:00,2
2019-08-12 09:57:00,8
2019-08-12 09:58:00,2
2019-08-12 09:59:00,2
2019-08-12 10:01:00,2
2019-08-12 10:14:00,4
2019-08-12 10:15:00,1
