1970,"select name, type from DBObjects where type=&&& and access=&&& and name NOT IN (&&&, &&&) order by name"
2019-08-12 00:21:00,3
2019-08-12 00:32:00,3
2019-08-12 00:34:00,1
2019-08-12 00:35:00,3
2019-08-12 00:44:00,3
2019-08-12 00:46:00,3
2019-08-12 00:50:00,3
2019-08-12 00:53:00,3
2019-08-12 00:56:00,6
2019-08-12 00:57:00,3
2019-08-12 00:59:00,3
2019-08-12 01:00:00,3
2019-08-12 01:06:00,3
2019-08-12 01:09:00,3
2019-08-12 01:19:00,3
2019-08-12 01:24:00,3
2019-08-12 01:31:00,3
2019-08-12 01:33:00,3
2019-08-12 01:37:00,3
2019-08-12 01:53:00,3
2019-08-12 01:54:00,3
2019-08-12 02:01:00,24
2019-08-12 02:03:00,1
2019-08-12 02:30:00,3
2019-08-12 02:36:00,3
2019-08-12 02:42:00,3
2019-08-12 02:47:00,3
2019-08-12 03:19:00,3
2019-08-12 03:35:00,3
2019-08-12 03:36:00,3
2019-08-12 03:38:00,6
2019-08-12 03:43:00,3
2019-08-12 04:01:00,3
2019-08-12 04:02:00,3
2019-08-12 04:05:00,3
2019-08-12 04:09:00,108
2019-08-12 04:10:00,108
2019-08-12 04:11:00,45
2019-08-12 04:12:00,3
2019-08-12 04:16:00,3
2019-08-12 04:17:00,3
2019-08-12 04:19:00,3
2019-08-12 04:23:00,33
2019-08-12 04:24:00,3
2019-08-12 04:27:00,2
2019-08-12 04:28:00,4
2019-08-12 04:35:00,3
2019-08-12 04:39:00,3
2019-08-12 04:52:00,3
2019-08-12 04:55:00,3
2019-08-12 05:13:00,3
2019-08-12 05:49:00,3
2019-08-12 05:52:00,3
2019-08-12 06:01:00,3
2019-08-12 06:10:00,3
2019-08-12 06:13:00,3
2019-08-12 06:19:00,6
2019-08-12 06:24:00,3
2019-08-12 06:25:00,3
2019-08-12 06:33:00,6
2019-08-12 06:39:00,3
2019-08-12 06:51:00,6
2019-08-12 07:11:00,3
2019-08-12 07:20:00,3
2019-08-12 07:23:00,3
2019-08-12 07:25:00,3
2019-08-12 07:40:00,6
2019-08-12 07:43:00,3
2019-08-12 07:49:00,3
2019-08-12 07:55:00,3
2019-08-12 07:57:00,27
2019-08-12 07:58:00,42
2019-08-12 07:59:00,27
2019-08-12 08:00:00,51
2019-08-12 08:01:00,18
2019-08-12 08:07:00,3
2019-08-12 08:17:00,3
2019-08-12 08:47:00,3
2019-08-12 08:48:00,3
2019-08-12 08:57:00,3
2019-08-12 08:58:00,3
2019-08-12 09:00:00,3
2019-08-12 09:19:00,3
2019-08-12 09:21:00,3
2019-08-12 09:28:00,3
2019-08-12 09:34:00,42
2019-08-12 09:35:00,177
2019-08-12 09:36:00,75
2019-08-12 09:39:00,3
2019-08-12 09:45:00,3
2019-08-12 09:58:00,3
2019-08-12 10:12:00,3
2019-08-12 10:21:00,3
2019-08-12 10:49:00,3
2019-08-12 11:32:00,1
2019-08-12 11:33:00,7
2019-08-12 11:49:00,3
2019-08-12 12:00:00,3
2019-08-12 12:05:00,3
2019-08-12 12:08:00,3
2019-08-12 12:12:00,3
2019-08-12 12:34:00,3
2019-08-12 13:01:00,6
2019-08-12 13:05:00,3
2019-08-12 13:09:00,3
2019-08-12 13:21:00,3
2019-08-12 13:24:00,3
2019-08-12 13:27:00,6
2019-08-12 13:32:00,3
2019-08-12 13:42:00,3
2019-08-12 13:43:00,3
2019-08-12 13:47:00,3
2019-08-12 14:02:00,3
2019-08-12 14:09:00,3
2019-08-12 14:12:00,3
2019-08-12 14:14:00,3
2019-08-12 14:18:00,3
2019-08-12 14:28:00,3
2019-08-12 14:35:00,3
2019-08-12 14:40:00,3
2019-08-12 14:49:00,3
2019-08-12 14:51:00,18
2019-08-12 14:52:00,6
2019-08-12 14:53:00,15
2019-08-12 14:54:00,9
2019-08-12 14:55:00,9
2019-08-12 14:59:00,6
2019-08-12 15:22:00,3
2019-08-12 15:26:00,3
2019-08-12 15:27:00,3
2019-08-12 15:37:00,3
2019-08-12 15:38:00,9
2019-08-12 15:39:00,3
2019-08-12 15:40:00,9
2019-08-12 15:46:00,3
2019-08-12 16:05:00,12
2019-08-12 16:06:00,15
2019-08-12 16:07:00,9
2019-08-12 16:09:00,12
2019-08-12 16:10:00,12
2019-08-12 16:11:00,6
2019-08-12 16:12:00,15
2019-08-12 16:13:00,6
2019-08-12 16:14:00,6
2019-08-12 16:16:00,6
2019-08-12 16:23:00,3
2019-08-12 16:24:00,3
2019-08-12 16:27:00,3
2019-08-12 16:52:00,3
2019-08-12 16:54:00,3
2019-08-12 16:55:00,6
2019-08-12 16:56:00,3
2019-08-12 16:58:00,3
2019-08-12 16:59:00,3
2019-08-12 17:00:00,3
2019-08-12 17:01:00,6
2019-08-12 17:03:00,6
2019-08-12 17:04:00,3
2019-08-12 17:06:00,3
2019-08-12 17:07:00,9
2019-08-12 17:09:00,3
2019-08-12 17:10:00,12
2019-08-12 17:11:00,18
2019-08-12 17:12:00,12
2019-08-12 17:13:00,9
2019-08-12 17:14:00,15
2019-08-12 17:15:00,3
2019-08-12 17:18:00,3
2019-08-12 17:56:00,3
2019-08-12 17:57:00,3
2019-08-12 18:13:00,3
2019-08-12 18:24:00,3
2019-08-12 18:58:00,3
2019-08-12 19:06:00,3
2019-08-12 19:14:00,18
2019-08-12 19:15:00,18
2019-08-12 19:16:00,15
2019-08-12 19:17:00,18
2019-08-12 19:18:00,12
2019-08-12 19:19:00,18
2019-08-12 19:20:00,21
2019-08-12 19:21:00,18
2019-08-12 19:22:00,12
2019-08-12 19:23:00,12
2019-08-12 19:24:00,15
2019-08-12 19:25:00,18
2019-08-12 19:26:00,15
2019-08-12 19:27:00,15
2019-08-12 19:28:00,15
2019-08-12 19:29:00,15
2019-08-12 19:30:00,15
2019-08-12 19:32:00,3
2019-08-12 19:40:00,3
2019-08-12 19:45:00,3
2019-08-12 19:49:00,3
2019-08-12 19:50:00,3
2019-08-12 20:01:00,3
2019-08-12 20:06:00,3
2019-08-12 20:07:00,5
2019-08-12 20:08:00,4
2019-08-12 20:09:00,6
2019-08-12 20:10:00,3
