4,"SELECT TOP #   p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,s.z as redshift FROM PhotoObj as p   JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.dec BETWEEN # AND #   AND p.ra BETWEEN # AND #   AND s.z < #"
2019-10-01 11:38:00,3
2019-10-01 11:39:00,1
