2,"SELECT TOP # p.objid,str(p.ra,#,#) as ra,str(p.[dec],#,#) as dec,s.z,s.zErr,s.photoErrorClass,s.nnCount,r.z,r.zErr FROM BESTDR1#..PhotoObj AS p LEFT OUTER JOIN BESTDR1#..SpecObj r ON p.objID = r.bestObjID  JOIN dbo.fGetNearbyObjEq(#,#,#) AS b ON b.objID = p.objID  JOIN Photoz AS s ON s.objid = p.objid"
2019-10-01 15:39:00,1
2019-10-01 15:41:00,1
