24,"SELECT TOP # p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z FROM PhotoObj AS p WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND p.g < #"
2019-10-01 11:04:00,1
2019-10-01 11:29:00,1
2019-10-01 11:33:00,1
2019-10-01 12:58:00,1
2019-10-01 13:31:00,1
2019-10-01 14:44:00,1
2019-10-01 14:49:00,1
2019-10-01 16:32:00,1
2019-10-01 16:44:00,1
2019-10-01 16:57:00,1
2019-10-01 17:00:00,1
2019-10-01 17:13:00,1
2019-10-01 17:14:00,1
2019-10-01 17:33:00,1
2019-10-01 17:43:00,1
2019-10-01 17:44:00,1
2019-10-01 17:51:00,1
2019-10-01 17:53:00,1
2019-10-01 17:57:00,1
2019-10-01 18:01:00,1
2019-10-01 18:02:00,1
2019-10-01 18:03:00,1
2019-10-01 18:04:00,1
2019-10-01 18:07:00,1
