201,"SELECT p.objid,p.ra,p.dec, s.specobjid, s.class, s.z as redshift FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.z ># AND s.z < # AND s.class = GALAXY&&&"
2019-10-01 14:25:00,49
2019-10-01 14:26:00,74
2019-10-01 14:27:00,68
2019-10-01 14:28:00,9
2019-10-01 17:08:00,1
