7,"select p.specobjid, p.ra, p.dec, p.z, p.zerr, p.class, dbo.fDistanceArcMinEq(#,#,p.ra,p.dec) as distance  from dbo.fGetNearbySpecObjEq(#,#, #) s, specobj p  where s.specobjid = p.specobjid and p.zwarning = # and p.class = &&&"
2019-08-08 13:04:00,4
2019-08-08 13:07:00,3
