31,"SELECT ra,dec,r FROM PhotoObj WHERE ra BETWEEN # AND # AND dec BETWEEN # AND # AND r < # AND r > # AND clean = #"
2019-08-08 08:47:00,1
2019-08-08 11:25:00,1
2019-08-08 12:41:00,2
2019-08-08 12:47:00,1
2019-08-08 12:52:00,1
2019-08-08 12:58:00,2
2019-08-08 13:01:00,1
2019-08-08 13:08:00,1
2019-08-08 13:12:00,2
2019-08-08 13:14:00,1
2019-08-08 13:25:00,1
2019-08-08 13:30:00,1
2019-08-08 13:36:00,1
2019-08-08 13:39:00,1
2019-08-08 13:45:00,1
2019-08-08 13:52:00,1
2019-08-08 13:57:00,1
2019-08-08 14:13:00,1
2019-08-08 14:18:00,1
2019-08-08 14:21:00,1
2019-08-08 14:22:00,1
2019-08-08 14:25:00,1
2019-08-08 14:29:00,1
2019-08-08 14:35:00,1
2019-08-08 14:42:00,1
2019-08-08 14:49:00,1
2019-08-08 14:54:00,1
2019-08-08 15:00:00,1
