57,"select top # p.objid,p.ra,p.dec,dbo.fPhotoTypeN(p.type) as type,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z  from PhotoPrimary p, dbo.fGetNearbyObjEq(#,#,#) n  where p.objId=n.objId"
2019-08-08 00:47:00,1
2019-08-08 01:28:00,1
2019-08-08 01:45:00,1
2019-08-08 02:45:00,1
2019-08-08 03:46:00,1
2019-08-08 04:42:00,9
2019-08-08 04:45:00,1
2019-08-08 05:45:00,1
2019-08-08 06:46:00,1
2019-08-08 07:45:00,1
2019-08-08 08:45:00,1
2019-08-08 09:08:00,9
2019-08-08 09:46:00,1
2019-08-08 10:45:00,1
2019-08-08 11:45:00,1
2019-08-08 12:45:00,1
2019-08-08 13:45:00,1
2019-08-08 14:45:00,1
2019-08-08 14:54:00,9
2019-08-08 15:45:00,1
2019-08-08 16:45:00,1
2019-08-08 17:45:00,1
2019-08-08 18:43:00,4
2019-08-08 18:44:00,5
2019-08-08 18:45:00,1
2019-08-08 19:46:00,1
