237,"select p.run, p.camcol, p.field from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-08-08 00:53:00,6
2019-08-08 00:54:00,4
2019-08-08 00:55:00,1
2019-08-08 00:58:00,2
2019-08-08 01:03:00,6
2019-08-08 01:04:00,4
2019-08-08 01:06:00,2
2019-08-08 01:08:00,2
2019-08-08 01:10:00,4
2019-08-08 01:11:00,4
2019-08-08 01:13:00,1
2019-08-08 01:15:00,2
2019-08-08 01:17:00,6
2019-08-08 01:18:00,1
2019-08-08 01:19:00,2
2019-08-08 01:22:00,2
2019-08-08 01:24:00,1
2019-08-08 01:25:00,2
2019-08-08 01:26:00,1
2019-08-08 01:29:00,2
2019-08-08 01:31:00,4
2019-08-08 01:32:00,2
2019-08-08 01:34:00,2
2019-08-08 01:36:00,2
2019-08-08 01:38:00,1
2019-08-08 01:39:00,3
2019-08-08 01:41:00,1
2019-08-08 01:45:00,4
2019-08-08 01:46:00,4
2019-08-08 01:48:00,2
2019-08-08 01:50:00,2
2019-08-08 01:52:00,1
2019-08-08 01:53:00,2
2019-08-08 01:54:00,1
2019-08-08 01:57:00,2
2019-08-08 02:00:00,7
2019-08-08 02:01:00,2
2019-08-08 02:02:00,2
2019-08-08 02:05:00,2
2019-08-08 02:07:00,3
2019-08-08 02:09:00,1
2019-08-08 02:12:00,2
2019-08-08 02:14:00,7
2019-08-08 02:15:00,2
2019-08-08 02:16:00,2
2019-08-08 02:19:00,2
2019-08-08 02:21:00,8
2019-08-08 02:22:00,2
2019-08-08 02:23:00,2
2019-08-08 02:26:00,2
2019-08-08 02:28:00,4
2019-08-08 02:29:00,3
2019-08-08 02:30:00,1
2019-08-08 02:33:00,2
2019-08-08 02:35:00,6
2019-08-08 02:36:00,4
2019-08-08 02:37:00,2
2019-08-08 02:40:00,2
2019-08-08 02:42:00,4
2019-08-08 02:43:00,6
2019-08-08 02:44:00,2
2019-08-08 02:47:00,2
2019-08-08 08:35:00,7
2019-08-08 08:36:00,2
2019-08-08 08:37:00,2
2019-08-08 08:38:00,1
2019-08-08 08:41:00,2
2019-08-08 09:19:00,8
2019-08-08 09:21:00,1
2019-08-08 09:25:00,2
2019-08-08 09:41:00,6
2019-08-08 09:42:00,4
2019-08-08 09:44:00,2
2019-08-08 09:48:00,2
2019-08-08 10:01:00,4
2019-08-08 10:02:00,6
2019-08-08 10:04:00,2
2019-08-08 10:22:00,10
2019-08-08 10:24:00,2
2019-08-08 10:28:00,2
