22,"select name, type, description from DBObjects where  type in (&&&,&&&) and UPPER(name) like &&&"
2019-08-08 03:34:00,1
2019-08-08 07:23:00,1
2019-08-08 07:33:00,3
2019-08-08 07:40:00,1
2019-08-08 07:47:00,1
2019-08-08 07:55:00,1
2019-08-08 09:52:00,1
2019-08-08 11:04:00,1
2019-08-08 11:24:00,1
2019-08-08 12:51:00,1
2019-08-08 13:16:00,1
2019-08-08 13:38:00,1
2019-08-08 16:46:00,1
2019-08-08 18:22:00,1
2019-08-08 19:31:00,1
2019-08-08 21:30:00,3
2019-08-08 22:01:00,1
2019-08-08 22:52:00,1
