9,"select &&&, p.specobjid, p.plate, p.fiberID, p.mjd, p.ra, p.dec, p.z, p.zerr, p.class, dbo.fDistanceArcMinEq(#,#,p.ra,p.dec) as distance  from dbo.fGetNearbySpecObjEq(#,#, #) s, specobj p  where s.specobjid = p.specobjid and p.zwarning = # and p.class = &&&"
2019-08-08 13:26:00,6
2019-08-08 13:27:00,3
