29627,"SELECT aa_r,kk_r,airmass_r,gain_r,sky_r,skysig_r FROM Field where run=# AND rerun=# AND camcol=# AND field=#"
2019-08-08 00:27:00,9
2019-08-08 00:28:00,3
2019-08-08 00:31:00,4
2019-08-08 00:33:00,4
2019-08-08 00:34:00,31
2019-08-08 00:47:00,42
2019-08-08 00:50:00,50
2019-08-08 00:56:00,9
2019-08-08 00:57:00,7
2019-08-08 00:59:00,60
2019-08-08 01:09:00,54
2019-08-08 01:11:00,58
2019-08-08 01:14:00,96
2019-08-08 01:21:00,300
2019-08-08 01:22:00,216
2019-08-08 01:23:00,148
2019-08-08 01:26:00,260
2019-08-08 01:27:00,389
2019-08-08 01:28:00,376
2019-08-08 01:29:00,389
2019-08-08 01:30:00,401
2019-08-08 01:31:00,392
2019-08-08 01:32:00,494
2019-08-08 01:33:00,773
2019-08-08 01:34:00,763
2019-08-08 01:35:00,763
2019-08-08 01:36:00,796
2019-08-08 01:37:00,785
2019-08-08 01:38:00,714
2019-08-08 01:39:00,765
2019-08-08 01:40:00,740
2019-08-08 01:41:00,413
2019-08-08 01:42:00,326
2019-08-08 01:43:00,352
2019-08-08 01:44:00,341
2019-08-08 01:45:00,349
2019-08-08 01:46:00,352
2019-08-08 01:47:00,339
2019-08-08 01:48:00,348
2019-08-08 01:49:00,361
2019-08-08 01:50:00,357
2019-08-08 01:51:00,337
2019-08-08 01:52:00,337
2019-08-08 01:53:00,363
2019-08-08 01:54:00,332
2019-08-08 01:55:00,350
2019-08-08 01:56:00,330
2019-08-08 01:57:00,341
2019-08-08 01:58:00,322
2019-08-08 01:59:00,342
2019-08-08 02:00:00,359
2019-08-08 02:01:00,333
2019-08-08 02:02:00,341
2019-08-08 02:03:00,356
2019-08-08 02:04:00,329
2019-08-08 02:05:00,333
2019-08-08 02:06:00,324
2019-08-08 02:07:00,328
2019-08-08 02:08:00,330
2019-08-08 02:09:00,326
2019-08-08 02:10:00,324
2019-08-08 02:11:00,338
2019-08-08 02:12:00,324
2019-08-08 02:13:00,339
2019-08-08 02:14:00,334
2019-08-08 02:15:00,360
2019-08-08 02:16:00,354
2019-08-08 02:17:00,342
2019-08-08 02:18:00,354
2019-08-08 02:19:00,343
2019-08-08 02:20:00,335
2019-08-08 02:21:00,339
2019-08-08 02:22:00,337
2019-08-08 02:23:00,328
2019-08-08 02:24:00,340
2019-08-08 02:25:00,356
2019-08-08 02:26:00,336
2019-08-08 02:27:00,345
2019-08-08 02:28:00,349
2019-08-08 02:29:00,345
2019-08-08 02:30:00,333
2019-08-08 02:31:00,330
2019-08-08 02:32:00,327
2019-08-08 02:33:00,346
2019-08-08 02:34:00,336
2019-08-08 02:35:00,355
2019-08-08 02:36:00,350
2019-08-08 02:37:00,330
2019-08-08 02:38:00,256
