298,"SELECT * FROM dbo.fFootprintEq( #,#,#)"
2019-08-08 01:06:00,2
2019-08-08 01:08:00,4
2019-08-08 01:10:00,2
2019-08-08 01:11:00,2
2019-08-08 01:12:00,2
2019-08-08 01:13:00,2
2019-08-08 01:18:00,2
2019-08-08 01:19:00,2
2019-08-08 01:22:00,4
2019-08-08 01:24:00,1
2019-08-08 01:25:00,3
2019-08-08 01:26:00,4
2019-08-08 01:27:00,4
2019-08-08 01:29:00,2
2019-08-08 01:30:00,2
2019-08-08 01:32:00,4
2019-08-08 01:33:00,4
2019-08-08 01:35:00,4
2019-08-08 01:36:00,2
2019-08-08 01:37:00,2
2019-08-08 01:38:00,4
2019-08-08 01:39:00,4
2019-08-08 01:41:00,6
2019-08-08 01:42:00,2
2019-08-08 01:43:00,4
2019-08-08 01:44:00,6
2019-08-08 01:45:00,6
2019-08-08 01:46:00,4
2019-08-08 01:47:00,4
2019-08-08 01:48:00,4
2019-08-08 01:49:00,4
2019-08-08 01:50:00,6
2019-08-08 01:51:00,4
2019-08-08 01:52:00,3
2019-08-08 01:53:00,7
2019-08-08 01:55:00,4
2019-08-08 01:56:00,4
2019-08-08 01:58:00,4
2019-08-08 02:00:00,4
2019-08-08 02:02:00,4
2019-08-08 02:04:00,4
2019-08-08 02:05:00,6
2019-08-08 02:07:00,4
2019-08-08 02:08:00,6
2019-08-08 02:11:00,4
2019-08-08 02:12:00,4
2019-08-08 02:15:00,4
2019-08-08 02:16:00,4
2019-08-08 02:17:00,4
2019-08-08 02:18:00,3
2019-08-08 02:19:00,1
2019-08-08 02:21:00,4
2019-08-08 02:22:00,2
2019-08-08 02:23:00,2
2019-08-08 02:25:00,4
2019-08-08 02:27:00,4
2019-08-08 02:30:00,8
2019-08-08 02:32:00,4
2019-08-08 02:33:00,6
2019-08-08 02:34:00,3
2019-08-08 02:35:00,1
2019-08-08 02:36:00,4
2019-08-08 02:37:00,8
2019-08-08 02:38:00,2
2019-08-08 02:40:00,4
2019-08-08 02:42:00,8
2019-08-08 08:00:00,4
2019-08-08 08:01:00,4
2019-08-08 08:02:00,4
2019-08-08 08:03:00,3
2019-08-08 08:04:00,1
2019-08-08 08:05:00,4
2019-08-08 08:06:00,4
2019-08-08 08:08:00,4
2019-08-08 08:10:00,4
2019-08-08 08:11:00,4
2019-08-08 08:13:00,4
2019-08-08 08:14:00,4
2019-08-08 08:16:00,4
