2120,"SELECT DISTINCT po.objid AS phot_id, po.ra AS phot_ra, po.dec AS phot_dec, po.raerr AS phot_raerr, po.decerr AS phot_decerr, po.modelmag_i AS modmag_i FROM PhotoPrimary po WHERE ( po.clean = # OR ( ((po.flags & #) != #) AND ((po.flags & #) = #) AND (((po.flags & #) = #) OR (po.psfmagerr_i <= #)) AND (((po.flags & #) = #) OR (po.flags & #) = #) ) ) AND (po.calibStatus_i & #) != # AND po.modelmagerr_i <= # AND po.modelmagerr_i > # AND po.modelmag_i > # AND po.extinction_i <= # AND po.ra BETWEEN # AND #"
2019-08-08 04:17:00,1
2019-08-08 04:29:00,1
2019-08-08 04:32:00,1
2019-08-08 04:33:00,1
2019-08-08 04:41:00,9
2019-08-08 04:42:00,8
2019-08-08 04:43:00,6
2019-08-08 04:44:00,4
2019-08-08 04:45:00,5
2019-08-08 04:46:00,6
2019-08-08 04:47:00,6
2019-08-08 04:48:00,7
2019-08-08 04:49:00,4
2019-08-08 04:50:00,6
2019-08-08 04:51:00,8
2019-08-08 04:52:00,5
2019-08-08 04:53:00,4
2019-08-08 04:54:00,7
2019-08-08 04:55:00,7
2019-08-08 04:56:00,9
2019-08-08 04:57:00,5
2019-08-08 04:58:00,7
2019-08-08 04:59:00,4
2019-08-08 05:00:00,5
2019-08-08 05:01:00,4
2019-08-08 05:02:00,6
2019-08-08 05:03:00,4
2019-08-08 05:04:00,3
2019-08-08 05:05:00,1
2019-08-08 05:06:00,3
2019-08-08 05:07:00,5
2019-08-08 05:08:00,3
2019-08-08 05:09:00,5
2019-08-08 05:10:00,2
2019-08-08 05:11:00,5
2019-08-08 05:12:00,2
2019-08-08 05:13:00,4
2019-08-08 05:14:00,4
2019-08-08 05:15:00,3
2019-08-08 05:16:00,5
2019-08-08 05:17:00,5
2019-08-08 05:18:00,3
2019-08-08 05:19:00,4
2019-08-08 05:20:00,4
2019-08-08 05:21:00,4
2019-08-08 05:22:00,4
2019-08-08 05:23:00,5
2019-08-08 05:24:00,5
2019-08-08 05:25:00,6
2019-08-08 05:26:00,5
2019-08-08 05:27:00,4
2019-08-08 05:28:00,4
2019-08-08 05:29:00,7
2019-08-08 05:30:00,4
2019-08-08 05:31:00,5
2019-08-08 05:32:00,6
2019-08-08 05:33:00,6
2019-08-08 05:34:00,4
2019-08-08 05:35:00,8
2019-08-08 05:36:00,5
2019-08-08 05:37:00,6
2019-08-08 05:38:00,6
2019-08-08 05:39:00,5
2019-08-08 05:40:00,6
2019-08-08 05:41:00,6
2019-08-08 05:42:00,5
2019-08-08 05:43:00,5
2019-08-08 05:44:00,5
2019-08-08 05:45:00,5
2019-08-08 05:46:00,4
2019-08-08 05:47:00,6
2019-08-08 05:48:00,4
2019-08-08 05:49:00,9
2019-08-08 05:50:00,5
2019-08-08 05:51:00,5
2019-08-08 05:52:00,5
2019-08-08 05:53:00,6
2019-08-08 05:54:00,4
2019-08-08 05:55:00,5
2019-08-08 05:56:00,5
2019-08-08 05:57:00,4
2019-08-08 05:58:00,5
2019-08-08 05:59:00,5
2019-08-08 06:00:00,4
2019-08-08 06:01:00,6
2019-08-08 06:02:00,4
2019-08-08 06:03:00,5
2019-08-08 06:04:00,4
2019-08-08 06:05:00,3
2019-08-08 06:06:00,4
2019-08-08 06:07:00,4
2019-08-08 06:08:00,2
2019-08-08 06:09:00,4
2019-08-08 06:10:00,3
