44,"select p.objid as name, p.ra, p.dec from galaxy p, specobj s where p.objid=s.bestobjid and (p.g BETWEEN # AND #) and s.z BETWEEN # AND #"
2019-08-08 01:08:00,1
2019-08-08 01:17:00,1
2019-08-08 01:29:00,1
2019-08-08 01:35:00,1
2019-08-08 01:41:00,1
2019-08-08 01:46:00,1
2019-08-08 01:51:00,1
2019-08-08 01:54:00,1
2019-08-08 01:57:00,1
2019-08-08 02:09:00,1
2019-08-08 02:12:00,1
2019-08-08 02:21:00,1
2019-08-08 02:24:00,1
2019-08-08 02:32:00,1
2019-08-08 02:35:00,1
2019-08-08 02:43:00,1
2019-08-08 02:49:00,1
2019-08-08 02:58:00,1
2019-08-08 12:01:00,1
2019-08-08 12:09:00,1
2019-08-08 12:36:00,1
2019-08-08 12:45:00,2
2019-08-08 12:50:00,1
2019-08-08 13:23:00,1
2019-08-08 13:28:00,1
2019-08-08 13:38:00,1
2019-08-08 13:42:00,1
2019-08-08 13:47:00,1
2019-08-08 13:51:00,1
2019-08-08 13:55:00,1
2019-08-08 14:05:00,1
2019-08-08 14:09:00,1
2019-08-08 14:12:00,1
2019-08-08 14:15:00,1
2019-08-08 14:20:00,1
2019-08-08 14:28:00,1
2019-08-08 14:31:00,1
2019-08-08 14:34:00,1
2019-08-08 14:37:00,2
2019-08-08 14:38:00,1
2019-08-08 14:47:00,1
2019-08-08 15:00:00,1
