97,select * from stellarMassFSPSGranEarlyNoDust where specObjId=#
2019-08-08 04:52:00,1
2019-08-08 07:34:00,1
2019-08-08 07:38:00,1
2019-08-08 07:44:00,1
2019-08-08 07:49:00,1
2019-08-08 07:54:00,1
2019-08-08 07:58:00,1
2019-08-08 08:03:00,1
2019-08-08 08:06:00,1
2019-08-08 08:10:00,1
2019-08-08 08:14:00,2
2019-08-08 08:17:00,1
2019-08-08 08:21:00,1
2019-08-08 08:24:00,1
2019-08-08 08:27:00,1
2019-08-08 08:31:00,1
2019-08-08 08:34:00,1
2019-08-08 08:37:00,1
2019-08-08 08:40:00,1
2019-08-08 08:42:00,1
2019-08-08 08:45:00,1
2019-08-08 08:48:00,1
2019-08-08 08:51:00,1
2019-08-08 08:54:00,1
2019-08-08 08:57:00,1
2019-08-08 09:00:00,1
2019-08-08 09:03:00,1
2019-08-08 09:06:00,1
2019-08-08 09:09:00,1
2019-08-08 09:12:00,1
2019-08-08 09:15:00,1
2019-08-08 09:19:00,1
2019-08-08 09:22:00,1
2019-08-08 09:25:00,1
2019-08-08 09:27:00,1
2019-08-08 09:30:00,1
2019-08-08 09:33:00,1
2019-08-08 09:36:00,1
2019-08-08 09:39:00,1
2019-08-08 09:42:00,1
2019-08-08 09:46:00,1
2019-08-08 09:49:00,1
2019-08-08 09:52:00,1
2019-08-08 09:57:00,1
2019-08-08 10:00:00,1
2019-08-08 10:03:00,1
2019-08-08 10:07:00,1
2019-08-08 10:11:00,1
2019-08-08 10:14:00,1
2019-08-08 10:17:00,1
2019-08-08 10:20:00,1
2019-08-08 10:24:00,1
2019-08-08 10:26:00,1
2019-08-08 10:27:00,1
2019-08-08 10:32:00,1
2019-08-08 10:36:00,1
2019-08-08 10:41:00,1
2019-08-08 10:45:00,1
2019-08-08 10:49:00,1
2019-08-08 10:54:00,1
2019-08-08 10:58:00,1
2019-08-08 11:01:00,1
2019-08-08 11:06:00,1
2019-08-08 11:11:00,1
2019-08-08 11:16:00,1
2019-08-08 11:20:00,1
2019-08-08 11:24:00,1
2019-08-08 11:28:00,1
2019-08-08 11:29:00,1
2019-08-08 11:32:00,1
2019-08-08 11:36:00,1
2019-08-08 11:40:00,1
2019-08-08 11:45:00,1
2019-08-08 11:49:00,1
2019-08-08 11:53:00,1
2019-08-08 11:58:00,1
2019-08-08 12:03:00,1
2019-08-08 12:09:00,1
2019-08-08 12:14:00,1
2019-08-08 12:19:00,1
2019-08-08 12:24:00,1
2019-08-08 12:29:00,1
2019-08-08 12:34:00,1
2019-08-08 12:39:00,1
2019-08-08 12:45:00,1
2019-08-08 12:49:00,1
2019-08-08 12:54:00,1
2019-08-08 13:01:00,1
2019-08-08 13:08:00,1
2019-08-08 13:16:00,1
2019-08-08 13:27:00,1
2019-08-08 13:34:00,1
2019-08-08 13:41:00,1
2019-08-08 19:12:00,1
2019-08-08 20:55:00,1
2019-08-08 21:04:00,1
