2340,"select psfSigma1_z, psfSigma2_z, psfB_z, psfP0_z, psfBeta_z, psfSigmaP_z, psfSigma1_u, psfSigma2_u, psfB_u, psfP0_u, psfBeta_u, psfSigmaP_u, psfSigma1_g, psfSigma2_g, psfB_g, psfP0_g, psfBeta_g, psfSigmaP_g, psfSigma1_r, psfSigma2_r, psfB_r, psfP0_r, psfBeta_r, psfSigmaP_r, psfSigma1_i, psfSigma2_i, psfB_i, psfP0_i, psfBeta_i, psfSigmaP_i from Field where run = # and rerun = # and camcol = # and field = #"
2019-03-08 00:00:00,1
2019-03-08 00:03:00,4
2019-03-08 00:04:00,6
2019-03-08 00:08:00,10
2019-03-08 00:10:00,2
2019-03-08 00:15:00,10
2019-03-08 00:18:00,3
2019-03-08 00:21:00,2
2019-03-08 00:24:00,9
2019-03-08 00:26:00,1
2019-03-08 00:27:00,1
2019-03-08 00:29:00,2
2019-03-08 00:31:00,4
2019-03-08 00:32:00,1
2019-03-08 00:36:00,10
2019-03-08 00:43:00,1
2019-03-08 00:44:00,3
2019-03-08 00:46:00,3
2019-03-08 00:47:00,2
2019-03-08 00:48:00,1
2019-03-08 00:49:00,3
2019-03-08 00:50:00,3
2019-03-08 00:51:00,1
2019-03-08 00:55:00,5
2019-03-08 00:57:00,1
2019-03-08 00:58:00,2
2019-03-08 00:59:00,2
2019-03-08 01:01:00,3
2019-03-08 01:02:00,1
2019-03-08 01:04:00,4
2019-03-08 01:09:00,10
2019-03-08 01:11:00,3
2019-03-08 01:13:00,2
2019-03-08 01:15:00,4
2019-03-08 01:16:00,1
2019-03-08 01:17:00,1
2019-03-08 01:21:00,10
2019-03-08 01:23:00,1
2019-03-08 01:25:00,6
2019-03-08 01:27:00,1
2019-03-08 01:28:00,1
2019-03-08 01:31:00,9
2019-03-08 01:36:00,4
2019-03-08 01:37:00,6
2019-03-08 01:42:00,10
2019-03-08 01:45:00,1
2019-03-08 01:46:00,2
2019-03-08 01:48:00,4
2019-03-08 01:49:00,2
2019-03-08 01:53:00,10
2019-03-08 01:56:00,1
2019-03-08 01:57:00,2
2019-03-08 01:58:00,1
2019-03-08 01:59:00,2
2019-03-08 02:02:00,3
2019-03-08 02:04:00,1
2019-03-08 02:07:00,10
2019-03-08 02:10:00,3
2019-03-08 02:11:00,1
2019-03-08 02:12:00,2
2019-03-08 02:15:00,8
2019-03-08 02:17:00,1
2019-03-08 02:20:00,3
2019-03-08 02:21:00,7
2019-03-08 02:23:00,2
2019-03-08 02:26:00,9
2019-03-08 02:28:00,1
2019-03-08 02:29:00,2
2019-03-08 02:30:00,2
2019-03-08 02:34:00,10
2019-03-08 02:40:00,10
2019-03-08 02:41:00,1
2019-03-08 02:42:00,1
2019-03-08 02:45:00,10
2019-03-08 02:50:00,8
2019-03-08 02:51:00,2
2019-03-08 02:57:00,6
2019-03-08 02:58:00,4
2019-03-08 03:03:00,5
2019-03-08 03:05:00,2
2019-03-08 03:06:00,2
2019-03-08 03:07:00,1
2019-03-08 03:08:00,3
2019-03-08 03:09:00,2
2019-03-08 03:10:00,2
2019-03-08 03:12:00,1
2019-03-08 03:13:00,1
2019-03-08 03:16:00,10
2019-03-08 03:18:00,2
2019-03-08 03:22:00,10
2019-03-08 03:29:00,10
2019-03-08 03:31:00,1
2019-03-08 03:32:00,2
2019-03-08 03:36:00,10
2019-03-08 03:40:00,5
2019-03-08 03:44:00,8
2019-03-08 03:48:00,3
2019-03-08 03:50:00,3
2019-03-08 03:52:00,2
2019-03-08 03:53:00,5
2019-03-08 03:54:00,1
2019-03-08 03:55:00,1
2019-03-08 03:59:00,10
2019-03-08 04:00:00,1
2019-03-08 04:02:00,1
2019-03-08 04:05:00,10
2019-03-08 04:07:00,2
2019-03-08 04:11:00,2
2019-03-08 04:12:00,2
2019-03-08 04:13:00,1
2019-03-08 04:16:00,9
2019-03-08 04:17:00,1
2019-03-08 04:22:00,10
2019-03-08 04:24:00,1
2019-03-08 04:28:00,10
2019-03-08 04:32:00,4
2019-03-08 04:36:00,10
2019-03-08 04:40:00,5
2019-03-08 04:42:00,2
2019-03-08 04:43:00,1
2019-03-08 04:45:00,4
2019-03-08 04:46:00,2
2019-03-08 04:48:00,2
2019-03-08 04:51:00,2
2019-03-08 04:52:00,8
2019-03-08 04:53:00,1
2019-03-08 04:57:00,10
2019-03-08 05:00:00,4
2019-03-08 05:05:00,10
2019-03-08 05:08:00,3
2019-03-08 05:09:00,2
2019-03-08 05:11:00,5
2019-03-08 05:15:00,10
2019-03-08 05:17:00,2
2019-03-08 05:21:00,10
2019-03-08 05:23:00,1
2019-03-08 05:24:00,2
2019-03-08 05:25:00,2
2019-03-08 05:26:00,1
2019-03-08 05:29:00,4
2019-03-08 05:30:00,6
2019-03-08 05:35:00,10
2019-03-08 05:40:00,10
2019-03-08 05:43:00,4
2019-03-08 05:44:00,1
2019-03-08 05:46:00,4
2019-03-08 05:47:00,1
2019-03-08 05:51:00,8
2019-03-08 05:54:00,3
2019-03-08 05:55:00,2
2019-03-08 05:56:00,2
2019-03-08 05:58:00,5
2019-03-08 06:02:00,10
2019-03-08 06:06:00,5
2019-03-08 06:11:00,7
