994,select objid from photoprimary where photoprimary.dec between -.# and -.# and photoprimary.ra between # and #
2019-03-08 00:09:00,1
2019-03-08 02:43:00,1
2019-03-08 02:53:00,4
2019-03-08 02:54:00,18
2019-03-08 02:56:00,3
2019-03-08 02:57:00,17
2019-03-08 02:58:00,6
2019-03-08 02:59:00,23
2019-03-08 03:00:00,49
2019-03-08 03:01:00,9
2019-03-08 03:02:00,2
2019-03-08 03:03:00,18
2019-03-08 03:04:00,1
2019-03-08 03:10:00,3
2019-03-08 03:11:00,23
2019-03-08 03:12:00,14
2019-03-08 03:13:00,13
2019-03-08 03:27:00,23
2019-03-08 03:28:00,2
2019-03-08 03:59:00,15
2019-03-08 04:00:00,12
2019-03-08 04:01:00,34
2019-03-08 04:02:00,104
2019-03-08 04:03:00,7
2019-03-08 04:10:00,11
2019-03-08 04:36:00,8
2019-03-08 04:37:00,23
2019-03-08 04:57:00,15
2019-03-08 04:58:00,3
2019-03-08 04:59:00,3
2019-03-08 05:00:00,4
2019-03-08 05:01:00,3
2019-03-08 05:02:00,1
2019-03-08 05:03:00,1
2019-03-08 05:05:00,1
2019-03-08 05:06:00,3
2019-03-08 05:19:00,1
2019-03-08 05:22:00,7
2019-03-08 05:23:00,4
2019-03-08 05:25:00,3
2019-03-08 05:36:00,3
2019-03-08 05:38:00,1
2019-03-08 05:41:00,4
2019-03-08 05:50:00,1
2019-03-08 06:03:00,3
2019-03-08 06:17:00,1
2019-03-08 06:30:00,10
2019-03-08 06:32:00,1
2019-03-08 06:34:00,6
2019-03-08 06:35:00,4
2019-03-08 06:37:00,1
2019-03-08 06:54:00,8
2019-03-08 06:57:00,14
2019-03-08 06:59:00,1
2019-03-08 07:03:00,1
2019-03-08 07:04:00,1
2019-03-08 07:22:00,5
2019-03-08 07:23:00,1
2019-03-08 07:33:00,17
2019-03-08 07:34:00,133
2019-03-08 07:35:00,14
2019-03-08 07:36:00,6
2019-03-08 07:37:00,15
2019-03-08 07:39:00,31
2019-03-08 07:40:00,11
2019-03-08 07:42:00,3
2019-03-08 08:08:00,10
2019-03-08 08:42:00,13
2019-03-08 08:43:00,19
2019-03-08 08:44:00,6
2019-03-08 08:45:00,2
2019-03-08 09:11:00,6
2019-03-08 09:12:00,5
2019-03-08 09:13:00,2
2019-03-08 09:14:00,6
2019-03-08 09:15:00,43
2019-03-08 09:16:00,34
2019-03-08 09:17:00,38
2019-03-08 09:18:00,1
2019-03-08 09:19:00,7
2019-03-08 09:43:00,10
2019-03-08 18:25:00,3
