83,select objid from photoobj where photoobj.dec between -.# and -.# and photoobj.ra between # and #
2019-03-08 02:54:00,2
2019-03-08 02:55:00,10
2019-03-08 02:56:00,1
2019-03-08 02:58:00,6
2019-03-08 02:59:00,5
2019-03-08 03:01:00,3
2019-03-08 03:11:00,2
2019-03-08 03:12:00,3
2019-03-08 03:26:00,2
2019-03-08 03:27:00,4
2019-03-08 03:59:00,4
2019-03-08 07:23:00,1
2019-03-08 07:36:00,7
2019-03-08 07:39:00,2
2019-03-08 07:41:00,5
2019-03-08 08:44:00,8
2019-03-08 08:46:00,8
2019-03-08 09:13:00,3
2019-03-08 09:18:00,5
2019-03-08 09:19:00,2
