3,"SELECT p.objID,p.ra,p.dec,p.run,p.rerun,p.camcol,p.field,p.type,p.psfMag_u,p.psfMag_g,p.psfMag_r,p.psfMag_i,p.psfMag_z,p.psfMagErr_u,p.psfMagErr_g,p.psfMagErr_r,p.psfMagErr_i,p.psfMagErr_z,p.modelMag_u,p.modelMag_g,p.modelMag_r,p.modelMag_i,p.modelMag_z,p.modelMagErr_u,p.modelMagErr_g,p.modelMagErr_r,p.modelMagErr_i,p.modelMagErr_z,fiber2Mag_u,fiber2Mag_g,fiber2Mag_r,fiber2Mag_i,fiber2Mag_z,fiber2MagErr_u,fiber2MagErr_g,fiber2MagErr_r,fiber2MagErr_i,fiber2MagErr_z,fiberMag_u,fiberMag_g,fiberMag_r,fiberMag_i,fiberMag_z,fiberMagErr_u,fiberMagErr_g,fiberMagErr_r,fiberMagErr_i,fiberMagErr_z,aperFlux7_u,aperFlux7_g,aperFlux7_r,aperFlux7_i,aperFlux7_z,aperFlux7Ivar_u,aperFlux7Ivar_g,aperFlux7Ivar_r,aperFlux7Ivar_i,aperFlux7Ivar_z,psffwhm_u,psffwhm_g,psffwhm_r,psffwhm_i,psffwhm_z,p.flags,p.flags_u,p.flags_g,p.flags_r,p.flags_i,p.flags_z,p.calibStatus_u,p.calibStatus_g,p.calibStatus_r,p.calibStatus_i,p.calibStatus_z,p.extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,cloudCam_u,cloudCam_g,cloudCam_r,cloudCam_i,cloudCam_z FROM dbo.fGetNearbyObjEq(#,#,#) as b, BESTDR1#..PhotoObjAll as p WHERE b.objID = p.objID"
2019-03-08 17:25:00,2
2019-03-08 17:26:00,1
