260,"SELECT DISTINCT p.ra, p.dec, s.Z FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-03-08 09:04:00,65
2019-03-08 09:06:00,80
2019-03-08 09:07:00,104
2019-03-08 09:08:00,11
