50680,select objid from photoprimary where photoprimary.dec between # and # and photoprimary.ra between # and #
2019-03-08 00:03:00,320
2019-03-08 00:04:00,120
2019-03-08 00:05:00,369
2019-03-08 00:06:00,14
2019-03-08 00:07:00,313
2019-03-08 00:08:00,571
2019-03-08 00:09:00,335
2019-03-08 00:10:00,19
2019-03-08 00:15:00,1
2019-03-08 00:18:00,1
2019-03-08 00:21:00,1
2019-03-08 00:23:00,1
2019-03-08 00:25:00,1
2019-03-08 00:29:00,10
2019-03-08 00:33:00,1
2019-03-08 00:34:00,1
2019-03-08 00:39:00,1
2019-03-08 00:49:00,1
2019-03-08 00:51:00,6
2019-03-08 00:52:00,2
2019-03-08 00:53:00,4
2019-03-08 00:56:00,1
2019-03-08 01:00:00,1
2019-03-08 01:11:00,4
2019-03-08 01:13:00,2
2019-03-08 01:14:00,5
2019-03-08 01:23:00,1
2019-03-08 01:24:00,1
2019-03-08 01:27:00,1
2019-03-08 01:29:00,1
2019-03-08 01:35:00,1
2019-03-08 01:38:00,2
2019-03-08 01:40:00,1
2019-03-08 01:50:00,1
2019-03-08 01:57:00,2
2019-03-08 02:01:00,1
2019-03-08 02:06:00,44
2019-03-08 02:09:00,1
2019-03-08 02:11:00,3
2019-03-08 02:18:00,2
2019-03-08 02:21:00,5
2019-03-08 02:24:00,1
2019-03-08 02:25:00,2
2019-03-08 02:30:00,1
2019-03-08 02:33:00,54
2019-03-08 02:35:00,365
2019-03-08 02:36:00,574
2019-03-08 02:39:00,8
2019-03-08 02:40:00,43
2019-03-08 02:43:00,62
2019-03-08 02:50:00,2
2019-03-08 02:53:00,374
2019-03-08 02:54:00,1241
2019-03-08 02:55:00,1116
2019-03-08 02:56:00,1146
2019-03-08 02:57:00,1171
2019-03-08 02:58:00,634
2019-03-08 02:59:00,1066
2019-03-08 03:00:00,1242
2019-03-08 03:01:00,746
2019-03-08 03:02:00,928
2019-03-08 03:03:00,1346
2019-03-08 03:04:00,204
2019-03-08 03:10:00,48
2019-03-08 03:11:00,1088
2019-03-08 03:12:00,1190
2019-03-08 03:13:00,500
2019-03-08 03:15:00,14
2019-03-08 03:16:00,5
2019-03-08 03:17:00,1
2019-03-08 03:18:00,26
2019-03-08 03:20:00,3
2019-03-08 03:21:00,1
2019-03-08 03:22:00,17
2019-03-08 03:23:00,14
2019-03-08 03:24:00,2
2019-03-08 03:26:00,2
2019-03-08 03:27:00,438
2019-03-08 03:28:00,12
2019-03-08 03:29:00,3
2019-03-08 03:30:00,2
2019-03-08 03:49:00,1
2019-03-08 03:52:00,2
2019-03-08 03:53:00,1
2019-03-08 03:54:00,1
2019-03-08 03:59:00,177
2019-03-08 04:00:00,316
2019-03-08 04:01:00,862
2019-03-08 04:02:00,1054
2019-03-08 04:03:00,268
2019-03-08 04:04:00,23
2019-03-08 04:07:00,25
2019-03-08 04:10:00,86
2019-03-08 04:11:00,4
2019-03-08 04:13:00,23
2019-03-08 04:15:00,4
2019-03-08 04:17:00,4
2019-03-08 04:18:00,2
2019-03-08 04:19:00,5
2019-03-08 04:21:00,3
2019-03-08 04:22:00,12
2019-03-08 04:23:00,3
2019-03-08 04:24:00,30
2019-03-08 04:26:00,4
2019-03-08 04:27:00,4
2019-03-08 04:29:00,6
2019-03-08 04:30:00,7
2019-03-08 04:31:00,2
2019-03-08 04:35:00,2
2019-03-08 04:36:00,346
2019-03-08 04:37:00,1242
2019-03-08 04:38:00,247
2019-03-08 04:39:00,7
2019-03-08 04:41:00,31
2019-03-08 04:44:00,10
2019-03-08 04:45:00,7
2019-03-08 04:48:00,16
2019-03-08 04:50:00,21
2019-03-08 04:53:00,9
2019-03-08 04:54:00,13
2019-03-08 04:56:00,6
2019-03-08 04:57:00,10
2019-03-08 05:01:00,4
2019-03-08 05:02:00,8
2019-03-08 05:03:00,20
2019-03-08 05:04:00,5
2019-03-08 05:05:00,3
2019-03-08 05:06:00,10
2019-03-08 05:07:00,7
2019-03-08 05:08:00,5
2019-03-08 05:09:00,1
2019-03-08 05:10:00,40
2019-03-08 05:13:00,2
2019-03-08 05:14:00,10
2019-03-08 05:17:00,10
2019-03-08 05:18:00,10
2019-03-08 05:19:00,14
2019-03-08 05:20:00,15
2019-03-08 05:21:00,2
2019-03-08 05:22:00,6
2019-03-08 05:23:00,2
2019-03-08 05:24:00,1
2019-03-08 05:25:00,13
2019-03-08 05:36:00,6
2019-03-08 05:38:00,1
2019-03-08 05:39:00,5
2019-03-08 05:41:00,2
2019-03-08 05:42:00,2
2019-03-08 05:45:00,6
2019-03-08 05:50:00,1
2019-03-08 05:58:00,3
2019-03-08 05:59:00,28
2019-03-08 06:01:00,4
2019-03-08 06:02:00,8
2019-03-08 06:03:00,8
2019-03-08 06:05:00,5
2019-03-08 06:11:00,2
2019-03-08 06:13:00,1
2019-03-08 06:17:00,16
2019-03-08 06:19:00,8
2019-03-08 06:20:00,17
2019-03-08 06:22:00,2
2019-03-08 06:23:00,7
2019-03-08 06:24:00,24
2019-03-08 06:25:00,7
2019-03-08 06:26:00,7
2019-03-08 06:27:00,4
2019-03-08 06:28:00,7
2019-03-08 06:29:00,5
2019-03-08 06:30:00,13
2019-03-08 06:31:00,5
2019-03-08 06:32:00,5
2019-03-08 06:34:00,2
2019-03-08 06:35:00,4
2019-03-08 06:37:00,18
2019-03-08 06:39:00,4
2019-03-08 06:40:00,5
2019-03-08 06:41:00,5
2019-03-08 06:42:00,5
2019-03-08 06:43:00,10
2019-03-08 06:44:00,3
2019-03-08 06:45:00,2
2019-03-08 06:46:00,14
2019-03-08 06:47:00,5
2019-03-08 06:48:00,6
2019-03-08 06:49:00,11
2019-03-08 06:50:00,5
2019-03-08 06:52:00,5
2019-03-08 06:53:00,3
2019-03-08 06:54:00,5
2019-03-08 06:57:00,5
2019-03-08 07:02:00,4
2019-03-08 07:03:00,4
2019-03-08 07:04:00,4
2019-03-08 07:06:00,28
2019-03-08 07:10:00,6
2019-03-08 07:14:00,4
2019-03-08 07:15:00,12
2019-03-08 07:17:00,9
2019-03-08 07:20:00,1
2019-03-08 07:22:00,6
2019-03-08 07:23:00,412
2019-03-08 07:24:00,3
2019-03-08 07:26:00,27
2019-03-08 07:29:00,16
2019-03-08 07:30:00,16
2019-03-08 07:32:00,309
2019-03-08 07:33:00,1429
2019-03-08 07:34:00,1146
2019-03-08 07:35:00,1355
2019-03-08 07:36:00,1303
2019-03-08 07:37:00,1327
2019-03-08 07:38:00,363
2019-03-08 07:39:00,1306
2019-03-08 07:40:00,1310
2019-03-08 07:41:00,196
2019-03-08 07:42:00,475
2019-03-08 08:02:00,2
2019-03-08 08:03:00,12
2019-03-08 08:04:00,10
2019-03-08 08:06:00,54
2019-03-08 08:07:00,76
2019-03-08 08:08:00,922
2019-03-08 08:09:00,254
2019-03-08 08:11:00,22
2019-03-08 08:14:00,5
2019-03-08 08:15:00,8
2019-03-08 08:17:00,4
2019-03-08 08:18:00,2
2019-03-08 08:19:00,13
2019-03-08 08:20:00,15
2019-03-08 08:23:00,1
2019-03-08 08:25:00,4
2019-03-08 08:28:00,17
2019-03-08 08:30:00,1
2019-03-08 08:31:00,12
2019-03-08 08:34:00,61
2019-03-08 08:40:00,2
2019-03-08 08:42:00,647
2019-03-08 08:43:00,767
2019-03-08 08:44:00,775
2019-03-08 08:45:00,649
2019-03-08 08:46:00,235
2019-03-08 08:47:00,4
2019-03-08 09:01:00,2
2019-03-08 09:04:00,2
2019-03-08 09:05:00,5
2019-03-08 09:09:00,2
2019-03-08 09:11:00,723
2019-03-08 09:12:00,1085
2019-03-08 09:13:00,1418
2019-03-08 09:14:00,1152
2019-03-08 09:15:00,1256
2019-03-08 09:16:00,1494
2019-03-08 09:17:00,1191
2019-03-08 09:18:00,166
