157,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field, s.z, s.plate, s.mjd, s.fiberID, s.specobjid, s.run2d, s.instrument FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-03-08 10:44:00,1
2019-03-08 10:45:00,3
2019-03-08 11:11:00,3
2019-03-08 11:12:00,5
2019-03-08 11:13:00,5
2019-03-08 11:14:00,4
2019-03-08 11:15:00,6
2019-03-08 11:16:00,5
2019-03-08 11:17:00,4
2019-03-08 11:18:00,3
2019-03-08 11:23:00,1
2019-03-08 11:24:00,5
2019-03-08 11:25:00,3
2019-03-08 11:29:00,1
2019-03-08 11:56:00,5
2019-03-08 11:57:00,4
2019-03-08 11:58:00,3
2019-03-08 11:59:00,4
2019-03-08 12:00:00,5
2019-03-08 12:01:00,5
2019-03-08 12:02:00,5
2019-03-08 12:03:00,1
2019-03-08 12:06:00,3
2019-03-08 12:07:00,4
2019-03-08 12:08:00,4
2019-03-08 12:09:00,3
2019-03-08 12:10:00,5
2019-03-08 12:11:00,3
2019-03-08 12:12:00,4
2019-03-08 12:13:00,2
2019-03-08 12:23:00,1
2019-03-08 12:24:00,5
2019-03-08 12:25:00,4
2019-03-08 12:44:00,3
2019-03-08 12:46:00,3
2019-03-08 12:47:00,4
2019-03-08 12:48:00,5
2019-03-08 12:49:00,4
2019-03-08 12:50:00,5
2019-03-08 12:51:00,5
2019-03-08 12:52:00,4
2019-03-08 12:53:00,4
2019-03-08 12:54:00,1
