443,select objid from photoprimary where photoprimary.dec between # and # and photoprimary.ra between .# and .#
2019-03-08 02:36:00,82
2019-03-08 02:53:00,6
2019-03-08 02:54:00,4
2019-03-08 02:55:00,6
2019-03-08 02:58:00,34
2019-03-08 03:00:00,2
2019-03-08 03:02:00,1
2019-03-08 03:11:00,3
2019-03-08 04:37:00,25
2019-03-08 07:33:00,39
2019-03-08 07:35:00,11
2019-03-08 07:36:00,40
2019-03-08 07:37:00,11
2019-03-08 07:38:00,6
2019-03-08 07:40:00,20
2019-03-08 07:41:00,6
2019-03-08 07:42:00,3
2019-03-08 08:08:00,4
2019-03-08 08:42:00,8
2019-03-08 08:43:00,40
2019-03-08 09:11:00,4
2019-03-08 09:12:00,16
2019-03-08 09:13:00,19
2019-03-08 09:15:00,4
2019-03-08 09:16:00,6
2019-03-08 09:19:00,13
2019-03-08 09:43:00,3
2019-03-08 09:44:00,8
2019-03-08 14:10:00,4
2019-03-08 18:25:00,13
2019-03-08 18:31:00,2
