614,select objid from photoprimary where photoprimary.dec between .# and .# and photoprimary.ra between # and #
2019-03-08 00:03:00,9
2019-03-08 00:05:00,3
2019-03-08 00:08:00,4
2019-03-08 02:35:00,3
2019-03-08 02:36:00,2
2019-03-08 02:43:00,3
2019-03-08 02:48:00,2
2019-03-08 02:53:00,1
2019-03-08 02:54:00,19
2019-03-08 02:55:00,4
2019-03-08 02:56:00,4
2019-03-08 02:57:00,18
2019-03-08 02:58:00,2
2019-03-08 02:59:00,7
2019-03-08 03:00:00,26
2019-03-08 03:01:00,7
2019-03-08 03:02:00,6
2019-03-08 03:03:00,17
2019-03-08 03:04:00,10
2019-03-08 03:07:00,1
2019-03-08 03:10:00,3
2019-03-08 03:11:00,7
2019-03-08 03:12:00,6
2019-03-08 03:13:00,2
2019-03-08 03:27:00,7
2019-03-08 03:59:00,9
2019-03-08 04:00:00,6
2019-03-08 04:01:00,2
2019-03-08 04:02:00,112
2019-03-08 04:03:00,3
2019-03-08 04:36:00,4
2019-03-08 04:37:00,32
2019-03-08 04:38:00,37
2019-03-08 07:32:00,1
2019-03-08 07:33:00,8
2019-03-08 07:35:00,6
2019-03-08 07:36:00,3
2019-03-08 07:37:00,7
2019-03-08 07:38:00,3
2019-03-08 07:39:00,17
2019-03-08 07:40:00,7
2019-03-08 08:08:00,2
2019-03-08 08:42:00,11
2019-03-08 08:43:00,3
2019-03-08 08:45:00,6
2019-03-08 09:11:00,10
2019-03-08 09:12:00,13
2019-03-08 09:14:00,13
2019-03-08 09:15:00,23
2019-03-08 09:16:00,36
2019-03-08 09:17:00,31
2019-03-08 09:18:00,9
2019-03-08 09:19:00,13
2019-03-08 09:43:00,13
2019-03-08 09:44:00,1
