89,SELECT COUNT(*)
2019-03-08 11:25:00,1
2019-03-08 11:33:00,1
2019-03-08 11:36:00,2
2019-03-08 11:37:00,1
2019-03-08 11:38:00,1
2019-03-08 11:39:00,2
2019-03-08 11:40:00,1
2019-03-08 13:58:00,1
2019-03-08 14:00:00,1
2019-03-08 14:01:00,1
2019-03-08 14:02:00,2
2019-03-08 14:03:00,4
2019-03-08 14:04:00,4
2019-03-08 14:05:00,4
2019-03-08 14:06:00,3
2019-03-08 14:07:00,3
2019-03-08 14:08:00,3
2019-03-08 14:09:00,2
2019-03-08 20:21:00,1
2019-03-08 20:22:00,2
2019-03-08 20:23:00,2
2019-03-08 20:24:00,2
2019-03-08 20:25:00,2
2019-03-08 21:24:00,2
2019-03-08 21:25:00,2
2019-03-08 21:26:00,2
2019-03-08 21:28:00,2
2019-03-08 21:29:00,3
2019-03-08 21:30:00,3
2019-03-08 21:31:00,2
2019-03-08 21:32:00,3
2019-03-08 21:33:00,2
2019-03-08 21:34:00,4
2019-03-08 21:35:00,3
2019-03-08 21:36:00,3
2019-03-08 21:37:00,3
2019-03-08 21:38:00,2
2019-03-08 21:39:00,3
2019-03-08 21:40:00,3
2019-03-08 22:32:00,1
