819,"select ra,dec,l,b, extinction_u, #*LOG1#(psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1#(psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #*LOG1#(psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #*LOG1#(psfFlux_i) + # - extinction_i + # as psfPogCorr_i, #*LOG1#(psfFlux_z) + # - extinction_z + # as psfPogCorr_z, #/SQRT(psfFluxIvar_u)/psfFlux_u as psfPogErr_u, #/SQRT(psfFluxIvar_g)/psfFlux_g as psfPogErr_g, #/SQRT(psfFluxIvar_r)/psfFlux_r as psfPogErr_r, #/SQRT(psfFluxIvar_i)/psfFlux_i as psfPogErr_i, #/SQRT(psfFluxIvar_z)/psfFlux_z as psfPogErr_z from star as s where ra between # and # and dec between # and # and s.clean=# and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfFlux_i > # and psfFlux_z > # and psfMagErr_u < # and psfMagErr_g < # and psfMagErr_r < # and psfMagErr_i < # and psfMagErr_z < #"
2019-03-08 02:52:00,1
2019-03-08 02:53:00,3
2019-03-08 02:54:00,4
2019-03-08 02:55:00,5
2019-03-08 02:56:00,3
2019-03-08 02:57:00,5
2019-03-08 02:58:00,4
2019-03-08 02:59:00,5
2019-03-08 03:00:00,4
2019-03-08 03:01:00,5
2019-03-08 03:02:00,3
2019-03-08 03:11:00,4
2019-03-08 03:12:00,6
2019-03-08 03:13:00,5
2019-03-08 03:14:00,5
2019-03-08 03:15:00,6
2019-03-08 03:16:00,6
2019-03-08 03:17:00,5
2019-03-08 03:18:00,7
2019-03-08 03:19:00,7
2019-03-08 03:20:00,8
2019-03-08 03:21:00,7
2019-03-08 03:22:00,6
2019-03-08 03:23:00,8
2019-03-08 03:24:00,8
2019-03-08 03:25:00,7
2019-03-08 03:26:00,8
2019-03-08 03:27:00,6
2019-03-08 03:28:00,6
2019-03-08 03:29:00,9
2019-03-08 03:30:00,7
2019-03-08 03:31:00,11
2019-03-08 03:32:00,8
2019-03-08 03:33:00,9
2019-03-08 03:34:00,11
2019-03-08 03:35:00,9
2019-03-08 03:36:00,11
2019-03-08 03:37:00,9
2019-03-08 03:38:00,3
2019-03-08 03:39:00,4
2019-03-08 03:40:00,5
2019-03-08 03:41:00,5
2019-03-08 03:42:00,3
2019-03-08 03:43:00,5
2019-03-08 03:44:00,3
2019-03-08 03:45:00,6
2019-03-08 03:46:00,4
2019-03-08 03:47:00,6
2019-03-08 03:48:00,5
2019-03-08 03:49:00,3
2019-03-08 03:50:00,6
2019-03-08 03:51:00,6
2019-03-08 03:52:00,5
2019-03-08 03:53:00,9
2019-03-08 03:54:00,5
2019-03-08 03:55:00,7
2019-03-08 03:56:00,9
2019-03-08 03:57:00,8
2019-03-08 03:58:00,7
2019-03-08 03:59:00,8
2019-03-08 04:00:00,7
2019-03-08 04:01:00,5
2019-03-08 04:02:00,7
2019-03-08 04:03:00,7
2019-03-08 04:04:00,6
2019-03-08 04:05:00,6
2019-03-08 04:06:00,4
2019-03-08 04:07:00,2
2019-03-08 04:51:00,4
2019-03-08 04:52:00,5
2019-03-08 04:53:00,5
2019-03-08 04:54:00,4
2019-03-08 04:55:00,4
2019-03-08 04:56:00,5
2019-03-08 04:57:00,6
2019-03-08 04:58:00,4
2019-03-08 04:59:00,5
2019-03-08 05:00:00,9
2019-03-08 05:01:00,9
2019-03-08 05:02:00,7
2019-03-08 05:03:00,8
2019-03-08 05:04:00,9
2019-03-08 05:05:00,7
2019-03-08 05:06:00,11
2019-03-08 05:07:00,7
2019-03-08 05:08:00,10
2019-03-08 05:09:00,12
2019-03-08 05:10:00,7
2019-03-08 05:11:00,7
2019-03-08 05:12:00,9
2019-03-08 05:13:00,10
2019-03-08 05:14:00,11
2019-03-08 05:15:00,10
2019-03-08 05:16:00,11
2019-03-08 05:17:00,12
2019-03-08 05:18:00,7
2019-03-08 05:19:00,10
2019-03-08 05:20:00,9
2019-03-08 05:21:00,8
2019-03-08 05:22:00,5
2019-03-08 05:23:00,8
2019-03-08 05:24:00,6
2019-03-08 05:25:00,8
2019-03-08 05:26:00,5
2019-03-08 05:27:00,10
2019-03-08 05:28:00,5
2019-03-08 05:29:00,5
2019-03-08 05:30:00,8
2019-03-08 05:31:00,6
2019-03-08 05:32:00,10
2019-03-08 05:33:00,8
2019-03-08 05:34:00,8
2019-03-08 05:35:00,8
2019-03-08 05:36:00,7
2019-03-08 05:37:00,6
2019-03-08 05:38:00,6
2019-03-08 05:39:00,6
2019-03-08 05:40:00,5
2019-03-08 05:41:00,8
2019-03-08 05:42:00,11
2019-03-08 05:43:00,7
2019-03-08 05:44:00,7
2019-03-08 05:45:00,7
