166,select objid from photoprimary where photoprimary.dec between # and # and photoprimary.ra between .# and #
2019-03-08 09:44:00,10
2019-03-08 10:03:00,1
2019-03-08 10:06:00,1
2019-03-08 10:09:00,1
2019-03-08 10:12:00,1
2019-03-08 10:24:00,1
2019-03-08 10:28:00,1
2019-03-08 10:30:00,1
2019-03-08 10:36:00,1
2019-03-08 10:43:00,1
2019-03-08 10:47:00,1
2019-03-08 10:58:00,1
2019-03-08 11:00:00,1
2019-03-08 11:02:00,1
2019-03-08 11:06:00,1
2019-03-08 11:18:00,1
2019-03-08 11:24:00,1
2019-03-08 11:29:00,1
2019-03-08 11:35:00,1
2019-03-08 11:36:00,1
2019-03-08 11:45:00,1
2019-03-08 11:56:00,1
2019-03-08 11:57:00,1
2019-03-08 12:01:00,1
2019-03-08 12:08:00,1
2019-03-08 12:16:00,1
2019-03-08 12:22:00,1
2019-03-08 12:25:00,1
2019-03-08 12:30:00,1
2019-03-08 12:41:00,1
2019-03-08 12:42:00,1
2019-03-08 12:49:00,1
2019-03-08 12:51:00,1
2019-03-08 13:01:00,1
2019-03-08 13:11:00,1
2019-03-08 13:12:00,1
2019-03-08 13:15:00,1
2019-03-08 13:27:00,1
2019-03-08 13:30:00,1
2019-03-08 13:32:00,1
2019-03-08 13:42:00,1
2019-03-08 13:50:00,1
2019-03-08 13:51:00,1
2019-03-08 14:04:00,1
2019-03-08 14:10:00,2
2019-03-08 14:14:00,1
2019-03-08 14:19:00,1
2019-03-08 14:24:00,6
2019-03-08 14:39:00,1
2019-03-08 14:41:00,2
2019-03-08 14:54:00,1
2019-03-08 14:55:00,1
2019-03-08 14:57:00,1
2019-03-08 14:59:00,1
2019-03-08 15:09:00,1
2019-03-08 15:15:00,2
2019-03-08 15:18:00,1
2019-03-08 15:26:00,1
2019-03-08 15:32:00,1
2019-03-08 15:36:00,1
2019-03-08 15:42:00,1
2019-03-08 15:43:00,1
2019-03-08 15:47:00,1
2019-03-08 15:51:00,1
2019-03-08 16:00:00,1
2019-03-08 16:01:00,1
2019-03-08 16:07:00,1
2019-03-08 16:12:00,1
2019-03-08 16:15:00,1
2019-03-08 16:20:00,1
2019-03-08 16:27:00,1
2019-03-08 16:32:00,1
2019-03-08 16:33:00,1
2019-03-08 16:42:00,1
2019-03-08 16:47:00,1
2019-03-08 16:48:00,1
2019-03-08 16:50:00,1
2019-03-08 17:04:00,2
2019-03-08 17:07:00,1
2019-03-08 17:08:00,1
2019-03-08 17:21:00,1
2019-03-08 17:22:00,1
2019-03-08 17:34:00,1
2019-03-08 17:35:00,1
2019-03-08 17:44:00,3
2019-03-08 18:01:00,1
2019-03-08 18:03:00,1
2019-03-08 18:12:00,1
2019-03-08 18:15:00,1
2019-03-08 18:34:00,2
2019-03-08 18:48:00,1
2019-03-08 18:53:00,1
2019-03-08 18:54:00,1
2019-03-08 19:08:00,1
2019-03-08 19:14:00,1
2019-03-08 19:16:00,1
2019-03-08 19:20:00,1
2019-03-08 19:30:00,1
2019-03-08 19:38:00,1
2019-03-08 19:42:00,2
2019-03-08 19:54:00,1
2019-03-08 20:02:00,1
2019-03-08 20:03:00,1
2019-03-08 20:07:00,1
2019-03-08 20:18:00,1
2019-03-08 20:24:00,1
2019-03-08 20:31:00,1
2019-03-08 20:32:00,1
2019-03-08 20:38:00,1
2019-03-08 20:47:00,1
2019-03-08 20:54:00,1
2019-03-08 20:58:00,1
2019-03-08 21:03:00,1
2019-03-08 21:10:00,1
2019-03-08 21:21:00,1
2019-03-08 21:31:00,1
2019-03-08 21:36:00,6
2019-03-08 21:59:00,1
2019-03-08 22:00:00,1
2019-03-08 22:01:00,1
2019-03-08 22:03:00,1
2019-03-08 22:20:00,1
2019-03-08 22:25:00,1
2019-03-08 22:26:00,1
2019-03-08 22:29:00,1
2019-03-08 22:40:00,1
2019-03-08 22:48:00,1
2019-03-08 22:52:00,1
2019-03-08 22:55:00,1
2019-03-08 23:04:00,1
2019-03-08 23:12:00,1
2019-03-08 23:14:00,1
2019-03-08 23:23:00,1
2019-03-08 23:27:00,1
2019-03-08 23:35:00,1
2019-03-08 23:38:00,1
2019-03-08 23:52:00,1
2019-03-08 23:54:00,1
2019-03-08 23:58:00,1
