27,"SELECT dbo.fPhotoTypeN(p.type) AS Type, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, p.obj, p.specObjID, p.objID, p.l, p.b, p.type, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, p.flags, p.mjd AS ImageMJD, p.mode, p.parentID, p.nChild, p.extinction_r, p.petroRad_r, p.petroRadErr_r, Photoz.z AS Photoz, Photoz.zerr AS Photoz_err, zooSpec.spiral AS Zoo1Morphology_spiral, zooSpec.elliptical AS Zoo1Morphology_elliptical, zooSpec.uncertain AS Zoo1Morphology_uncertain, s.instrument, s.class, s.z, s.zErr, s.survey, s.programname, s.sourcetype, s.velDisp, s.velDispErr, s.plate, s.mjd AS specMJD, s.fiberID FROM PhotoObj AS p LEFT JOIN Photoz ON Photoz.objID = p.objID LEFT JOIN zooSpec ON zooSpec.objID = p.objID LEFT JOIN SpecObj AS s ON s.specObjID = p.specObjID WHERE p.objID=#"
2019-03-08 14:55:00,1
2019-03-08 14:56:00,1
2019-03-08 15:24:00,1
2019-03-08 15:26:00,1
2019-03-08 15:27:00,1
2019-03-08 15:28:00,1
2019-03-08 15:30:00,1
2019-03-08 15:36:00,1
2019-03-08 15:39:00,1
2019-03-08 15:41:00,1
2019-03-08 15:43:00,1
2019-03-08 15:48:00,1
2019-03-08 15:52:00,1
2019-03-08 15:56:00,1
2019-03-08 16:05:00,1
2019-03-08 16:07:00,1
2019-03-08 16:08:00,2
2019-03-08 16:09:00,1
2019-03-08 16:13:00,1
2019-03-08 16:15:00,1
2019-03-08 16:17:00,1
2019-03-08 16:18:00,1
2019-03-08 16:21:00,1
2019-03-08 16:24:00,1
2019-03-08 16:26:00,1
2019-03-08 16:36:00,1
