107,select distinct parent from DBViewCols where viewname=&&&
2019-03-08 00:24:00,1
2019-03-08 01:06:00,2
2019-03-08 01:22:00,1
2019-03-08 01:23:00,1
2019-03-08 02:10:00,2
2019-03-08 02:11:00,1
2019-03-08 02:21:00,1
2019-03-08 04:44:00,2
2019-03-08 07:19:00,1
2019-03-08 07:24:00,1
2019-03-08 07:25:00,1
2019-03-08 07:28:00,2
2019-03-08 07:30:00,1
2019-03-08 09:22:00,1
2019-03-08 10:40:00,1
2019-03-08 11:05:00,1
2019-03-08 11:14:00,1
2019-03-08 12:16:00,1
2019-03-08 12:42:00,7
2019-03-08 12:43:00,8
2019-03-08 12:44:00,10
2019-03-08 12:45:00,8
2019-03-08 12:46:00,7
2019-03-08 12:47:00,1
2019-03-08 13:09:00,1
2019-03-08 14:05:00,1
2019-03-08 14:16:00,1
2019-03-08 14:28:00,1
2019-03-08 15:22:00,1
2019-03-08 17:37:00,1
2019-03-08 18:02:00,1
2019-03-08 18:39:00,1
2019-03-08 18:46:00,1
2019-03-08 19:29:00,1
2019-03-08 19:49:00,1
2019-03-08 20:15:00,2
2019-03-08 20:16:00,1
2019-03-08 20:58:00,1
2019-03-08 21:06:00,2
2019-03-08 21:07:00,1
2019-03-08 21:09:00,2
2019-03-08 21:10:00,1
2019-03-08 21:14:00,2
2019-03-08 21:18:00,1
2019-03-08 21:19:00,2
2019-03-08 21:21:00,1
2019-03-08 21:26:00,1
2019-03-08 21:28:00,1
2019-03-08 21:32:00,1
2019-03-08 22:07:00,1
2019-03-08 22:50:00,1
2019-03-08 23:25:00,2
2019-03-08 23:26:00,1
2019-03-08 23:28:00,2
2019-03-08 23:30:00,1
2019-03-08 23:34:00,1
2019-03-08 23:39:00,1
2019-03-08 23:50:00,2
2019-03-08 23:55:00,1
2019-03-08 23:59:00,1
