36,"SELECT p.ra,p.dec,p.raErr,p.decErr,p.objId,p.run,p.rerun,p.camcol,p.field,dbo.fPhotoModeN(mode) as mode,nChild,dbo.fPhotoTypeN(p.type) as type,clean,flags,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,mjd from PhotoObj as p JOIN dbo.fGetObjFromRectEq(#,#,#,#) AS R ON P.objID=R.objID"
2019-07-01 02:09:00,1
2019-07-01 04:25:00,1
2019-07-01 04:27:00,1
2019-07-01 04:28:00,1
2019-07-01 04:29:00,1
2019-07-01 04:30:00,1
2019-07-01 04:32:00,1
2019-07-01 04:33:00,1
2019-07-01 04:34:00,2
2019-07-01 04:36:00,1
2019-07-01 04:37:00,1
2019-07-01 04:38:00,1
2019-07-01 04:40:00,1
2019-07-01 04:41:00,1
2019-07-01 04:42:00,1
2019-07-01 04:43:00,1
2019-07-01 04:44:00,1
2019-07-01 04:46:00,1
2019-07-01 04:47:00,1
2019-07-01 04:49:00,1
2019-07-01 04:50:00,1
2019-07-01 04:51:00,1
2019-07-01 04:53:00,1
2019-07-01 04:56:00,1
2019-07-01 04:57:00,1
2019-07-01 04:59:00,1
2019-07-01 05:02:00,1
2019-07-01 05:06:00,1
2019-07-01 05:07:00,1
2019-07-01 05:09:00,1
2019-07-01 05:10:00,1
2019-07-01 05:13:00,1
2019-07-01 19:02:00,1
2019-07-01 20:28:00,1
2019-07-01 20:32:00,1
