33,"select top # ra, dec, g from photoObj WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-07-01 17:34:00,3
2019-07-01 17:35:00,4
2019-07-01 20:07:00,1
2019-07-01 20:19:00,1
2019-07-01 20:24:00,1
2019-07-01 20:36:00,2
2019-07-01 20:37:00,2
2019-07-01 20:47:00,2
2019-07-01 20:54:00,1
2019-07-01 20:58:00,1
2019-07-01 21:01:00,1
2019-07-01 21:07:00,1
2019-07-01 21:33:00,2
2019-07-01 21:36:00,2
2019-07-01 21:44:00,1
2019-07-01 21:45:00,2
2019-07-01 21:48:00,2
2019-07-01 21:49:00,1
2019-07-01 21:50:00,1
2019-07-01 22:06:00,1
2019-07-01 22:11:00,1
