22,"SELECT TOP #  s.plate,s.mjd,s.fiberid  FROM ..SpecObj as s  JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS b ON b.SpecobjID = S.SpecobjID  WHERE s.zWarning = #"
2019-07-01 01:12:00,1
2019-07-01 06:21:00,1
2019-07-01 06:47:00,1
2019-07-01 06:55:00,1
2019-07-01 07:15:00,1
2019-07-01 07:16:00,1
2019-07-01 07:17:00,1
2019-07-01 07:19:00,1
2019-07-01 07:22:00,1
2019-07-01 08:39:00,1
2019-07-01 08:44:00,1
2019-07-01 08:48:00,1
2019-07-01 08:58:00,1
2019-07-01 09:09:00,6
2019-07-01 15:51:00,1
2019-07-01 22:53:00,2
