14,"select top # p.objid, p.ra, p.dec, p.g, s.z as redshift from galaxy p, specobj s, dbo.fgetNearByObjEq(#,#,#) n where p.objid=s.bestobjid and p.objid=n.objid and s.bestobjid=n.objid and (p.g BETWEEN # AND #)  and s.z BETWEEN # AND # order by p.g"
2019-07-01 01:45:00,1
2019-07-01 02:03:00,1
2019-07-01 02:04:00,1
2019-07-01 02:36:00,1
2019-07-01 02:44:00,1
2019-07-01 02:50:00,1
2019-07-01 02:55:00,1
2019-07-01 02:57:00,1
2019-07-01 02:59:00,1
2019-07-01 03:00:00,1
2019-07-01 03:08:00,1
2019-07-01 03:12:00,1
2019-07-01 03:57:00,1
2019-07-01 12:09:00,1
