23,"SELECT TOP #  p.u,p.g,p.r,p.i,p.z  FROM ..PhotoObj AS p  JOIN dbo.fGetNearbyObjEq(#,#,#) AS b ON b.objID = P.objID  WHERE ( p.type = # OR p.type = #)"
2019-07-01 17:12:00,2
2019-07-01 17:15:00,1
2019-07-01 17:34:00,2
2019-07-01 17:37:00,1
2019-07-01 17:42:00,1
2019-07-01 17:43:00,1
2019-07-01 17:47:00,1
2019-07-01 17:49:00,1
2019-07-01 17:50:00,1
2019-07-01 18:04:00,1
2019-07-01 18:07:00,1
2019-07-01 18:08:00,1
2019-07-01 18:09:00,2
2019-07-01 21:14:00,1
2019-07-01 22:48:00,1
2019-07-01 23:01:00,1
2019-07-01 23:02:00,3
2019-07-01 23:03:00,1
