6203,"select specObjID, objID, ra, dec, z, petroMag_r-extinction_r as rpmag   from SpecPhotoAll where ra between # and # and dec between # and # and z between # and # and type = #"
2019-07-17 20:31:00,1
2019-07-17 20:38:00,2
2019-07-17 20:39:00,6
2019-07-17 20:44:00,1
2019-07-17 20:45:00,4
2019-07-17 20:46:00,4
2019-07-17 20:49:00,4
2019-07-17 20:50:00,8
2019-07-17 20:53:00,4
2019-07-17 20:54:00,4
2019-07-17 20:55:00,1
2019-07-17 20:58:00,1
2019-07-17 21:02:00,60
2019-07-17 21:03:00,14
2019-07-17 21:04:00,2
2019-07-17 21:08:00,8
2019-07-17 21:10:00,61
2019-07-17 21:11:00,82
2019-07-17 21:12:00,84
2019-07-17 21:13:00,82
2019-07-17 21:14:00,77
2019-07-17 21:15:00,81
2019-07-17 21:16:00,78
2019-07-17 21:17:00,81
2019-07-17 21:18:00,82
2019-07-17 21:19:00,79
2019-07-17 21:20:00,78
2019-07-17 21:21:00,78
2019-07-17 21:22:00,79
2019-07-17 21:23:00,80
2019-07-17 21:24:00,78
2019-07-17 21:25:00,77
2019-07-17 21:26:00,79
2019-07-17 21:27:00,79
2019-07-17 21:28:00,79
2019-07-17 21:29:00,15
2019-07-17 21:38:00,1
2019-07-17 21:44:00,1
2019-07-17 21:45:00,36
2019-07-17 21:46:00,75
2019-07-17 21:47:00,74
2019-07-17 21:48:00,75
2019-07-17 21:49:00,75
2019-07-17 21:50:00,72
2019-07-17 21:51:00,75
2019-07-17 21:52:00,71
2019-07-17 21:53:00,75
2019-07-17 21:54:00,75
2019-07-17 21:55:00,72
2019-07-17 21:56:00,73
2019-07-17 21:57:00,72
2019-07-17 21:58:00,72
2019-07-17 21:59:00,72
2019-07-17 22:00:00,73
2019-07-17 22:01:00,72
2019-07-17 22:02:00,72
2019-07-17 22:03:00,72
2019-07-17 22:04:00,72
2019-07-17 22:05:00,72
2019-07-17 22:06:00,71
2019-07-17 22:07:00,67
2019-07-17 22:08:00,70
2019-07-17 22:09:00,70
2019-07-17 22:10:00,71
2019-07-17 22:11:00,70
2019-07-17 22:12:00,70
2019-07-17 22:13:00,70
2019-07-17 22:14:00,69
2019-07-17 22:15:00,68
2019-07-17 22:16:00,65
2019-07-17 22:17:00,25
2019-07-17 22:52:00,1
2019-07-17 22:53:00,44
2019-07-17 22:54:00,65
2019-07-17 22:55:00,65
2019-07-17 22:56:00,65
2019-07-17 22:57:00,65
2019-07-17 22:58:00,61
2019-07-17 22:59:00,65
2019-07-17 23:00:00,64
2019-07-17 23:01:00,65
2019-07-17 23:02:00,66
2019-07-17 23:03:00,67
2019-07-17 23:04:00,64
2019-07-17 23:05:00,67
2019-07-17 23:06:00,64
2019-07-17 23:07:00,63
2019-07-17 23:08:00,65
2019-07-17 23:09:00,66
2019-07-17 23:10:00,65
2019-07-17 23:11:00,65
2019-07-17 23:12:00,64
2019-07-17 23:13:00,64
2019-07-17 23:14:00,64
2019-07-17 23:15:00,65
2019-07-17 23:16:00,4
2019-07-17 23:20:00,60
2019-07-17 23:21:00,63
2019-07-17 23:22:00,60
2019-07-17 23:23:00,60
2019-07-17 23:24:00,62
2019-07-17 23:25:00,63
2019-07-17 23:26:00,62
2019-07-17 23:27:00,62
2019-07-17 23:28:00,63
2019-07-17 23:29:00,61
2019-07-17 23:30:00,61
2019-07-17 23:31:00,61
2019-07-17 23:32:00,62
2019-07-17 23:33:00,12
