2,"select top # p.objid as name, p.ra, p.dec from galaxy p, specobj s, dbo.fgetNearByObjEq(#,#,#) n where p.objid=s.bestobjid and p.objid=n.objid and s.bestobjid=n.objid and (p.u BETWEEN # AND #)  and s.z BETWEEN # AND #"
2019-07-17 19:51:00,1
2019-07-17 19:52:00,1
